Index,No,movie,week_at_Top10
5,6,Tu Jhoothi Main Makkaar,1
6,7,Replicas,1
7,8,Pacific Rim,1
8,9,Stir of Echoes,1
9,10,Stand Up Guys,2
0,1,Villain,1
1,2,Paw Patrol: The Movie,3
2,3,A Tourist's Guide to Love,2
3,4,Stand Up Guys,1
4,5,The Last Kingdom: Seven Kings Must Die,3
5,6,AKA,1
6,7,The SpongeBob Movie: Sponge Out of Water,2
7,8,Ticket to Paradise,4
8,9,Monster Hunter,3
9,10,Murder Mystery 2,5
0,1,Paw Patrol: The Movie,2
1,2,The Last Kingdom: Seven Kings Must Die,2
2,3,Monster Hunter,2
3,4,The SpongeBob Movie: Sponge Out of Water,1
4,5,Ticket to Paradise,3
5,6,A Tourist's Guide to Love,1
6,7,Shehzada,1
7,8,Baywatch,3
8,9,Murder Mystery 2,4
9,10,Hunger,2
0,1,Ticket to Paradise,2
1,2,Paw Patrol: The Movie,1
2,3,The Last Kingdom: Seven Kings Must Die,1
3,4,Chupa,1
4,5,Monster Hunter,1
5,6,Hunger,1
6,7,Murder Mystery 2,3
7,8,Baywatch,2
8,9,Noah,2
9,10,Home,2
0,1,Murder Mystery 2,2
1,2,Ticket to Paradise,1
2,3,Baywatch,1
3,4,Murder Mystery,2
4,5,Noah,1
5,6,Elvis,3
6,7,Home,1
7,8,Kill Boksoon,2
8,9,Lewis Capaldi: How I'm Feeling Now,1
9,10,This Is 40,2
0,1,Murder Mystery 2,1
1,2,Elvis,2
2,3,Murder Mystery,1
3,4,Beast,2
4,5,Luther: The Fallen Sun,4
5,6,The Ant Bully,1
6,7,John Wick,1
7,8,John Wick: Chapter 3 - Parabellum,2
8,9,John Wick: Chapter 2,1
9,10,Kill Boksoon,1
0,1,Elvis,1
1,2,Beast,1
2,3,Luther: The Fallen Sun,3
3,4,Dark Waters,2
4,5,The Magician's Elephant,2
5,6,Happiest Season,2
6,7,Mr. Malcolm's List,1
7,8,Nope,3
8,9,Next Friday,1
9,10,Money Shot: The Pornhub Story,2
0,1,Luther: The Fallen Sun,2
1,2,Dark Waters,1
2,3,Nope,2
3,4,Money Shot: The Pornhub Story,1
4,5,Faraway,2
5,6,Happiest Season,1
6,7,The House with a Clock in Its Walls,1
7,8,Paradise Highway,3
8,9,The Magician's Elephant,1
9,10,Minions: The Rise of Gru,9
0,1,Luther: The Fallen Sun,1
1,2,Paradise Highway,2
2,3,Mine,2
3,4,Nope,1
4,5,Babyteeth,1
5,6,We Have a Ghost,3
6,7,Faraway,1
7,8,Emily the Criminal,2
8,9,Old,2
9,10,Watcher,1
0,1,We Have a Ghost,2
1,2,Mine,1
2,3,Old,1
3,4,Emily the Criminal,1
4,5,Paradise Highway,1
5,6,The Outfit,1
6,7,Snake Eyes: G.I. Joe Origins,2
7,8,The Strays,2
8,9,Your Place or Mine,4
9,10,Minions: The Rise of Gru,8
0,1,Ad Astra,2
1,2,We Have a Ghost,1
2,3,Your Place or Mine,3
3,4,The Strays,1
4,5,Dragonheart: Battle for the Heartfire,2
5,6,Snake Eyes: G.I. Joe Origins,1
6,7,All Quiet on the Western Front,4
7,8,Murder on the Home Front,1
8,9,Minions: The Rise of Gru,7
9,10,24 Hours to Live,2
0,1,Your Place or Mine,2
1,2,Ad Astra,1
2,3,The Love Punch,1
3,4,24 Hours to Live,1
4,5,The Black Phone,2
5,6,The Kid Detective,1
6,7,You People,4
7,8,Harry Potter and the Sorcerer's Stone,8
8,9,Dragonheart: Battle for the Heartfire,1
9,10,Minions: The Rise of Gru,6
0,1,Your Place or Mine,1
1,2,The Black Phone,1
2,3,You People,3
3,4,True Spirit,1
4,5,One Flew Over the Cuckoo's Nest,1
5,6,"Pamela, a love story",2
6,7,The Craigslist Killer,2
7,8,Sniper: Ultimate Kill,2
8,9,Minions: The Rise of Gru,5
9,10,Company of Heroes,2
0,1,You People,2
1,2,"Pamela, a love story",1
2,3,The Craigslist Killer,1
3,4,Sniper: Ultimate Kill,1
4,5,Minions: The Rise of Gru,4
5,6,Company of Heroes,1
6,7,Felon,1
7,8,In My Dreams,1
8,9,Devotion,3
9,10,Harry Potter and the Sorcerer's Stone,7
0,1,Devotion,2
1,2,You People,1
2,3,Minions: The Rise of Gru,3
3,4,The Forever Purge,1
4,5,Four Good Days,2
5,6,Narvik,1
6,7,Harry Potter and the Sorcerer's Stone,6
7,8,Harry Potter and the Chamber of Secrets,6
8,9,Harry Potter and the Prisoner of Azkaban,4
9,10,Harry Potter and the Goblet of Fire,3
0,1,Minions: The Rise of Gru,2
1,2,Four Good Days,1
2,3,Harry Potter and the Sorcerer's Stone,5
3,4,Harry Potter and the Chamber of Secrets,5
4,5,Devotion,1
5,6,A Quiet Place Part II,1
6,7,Bosch & Rockit,1
7,8,Dog Gone,1
8,9,Harry Potter and the Prisoner of Azkaban,3
9,10,Glass Onion: A Knives Out Mystery,5
0,1,The Pale Blue Eye,2
1,2,The Hatchet Wielding Hitchhiker,1
2,3,Glass Onion: A Knives Out Mystery,4
3,4,Minions: The Rise of Gru,1
4,5,Jurassic World: Dominion,3
5,6,Half Brothers,1
6,7,Roald Dahl's Matilda The Musical,3
7,8,F9: The Fast Saga,3
8,9,Fantastic Beasts: The Secrets of Dumbledore,3
9,10,The Deep End of the Ocean,3
0,1,Jurassic World: Dominion,2
1,2,Glass Onion: A Knives Out Mystery,3
2,3,F9: The Fast Saga,2
3,4,Fantastic Beasts: The Secrets of Dumbledore,2
4,5,The Deep End of the Ocean,2
5,6,Roald Dahl's Matilda The Musical,2
6,7,The Pale Blue Eye,1
7,8,Knives Out,4
8,9,Curve,1
9,10,White Noise,2
0,1,Glass Onion: A Knives Out Mystery,2
1,2,Roald Dahl's Matilda The Musical,1
2,3,Knives Out,3
3,4,Jurassic World: Dominion,1
4,5,Fantastic Beasts: The Secrets of Dumbledore,1
5,6,F9: The Fast Saga,1
6,7,The Volcano: Rescue from Whakaari,3
7,8,The Batman,5
8,9,The Deep End of the Ocean,1
9,10,White Noise,1
0,1,Glass Onion: A Knives Out Mystery,1
1,2,The Volcano: Rescue from Whakaari,2
2,3,I Believe in Santa,2
3,4,Fred Claus,2
4,5,Come Play,1
5,6,The Batman,4
6,7,Cloudy with a Chance of Meatballs 2,2
7,8,The Christmas Chronicles,1
8,9,The Holiday,1
9,10,The Polar Express,1
0,1,Too Close for Christmas,1
1,2,The Batman,3
2,3,Heatwave,1
3,4,I Believe in Santa,1
4,5,The Volcano: Rescue from Whakaari,1
5,6,Georgia Rule,2
6,7,Unthinkable,1
7,8,Guillermo del Toro’s Pinocchio,1
8,9,Cloudy with a Chance of Meatballs 2,1
9,10,Fred Claus,1
0,1,The Batman,2
1,2,Troll,2
2,3,Lady Chatterley's Lover,2
3,4,The Condemned,2
4,5,Georgia Rule,1
5,6,A Christmas Miracle for Daisy,1
6,7,The Meg,1
7,8,My Name Is Vendetta,2
8,9,The Noel Diary,3
9,10,The Boss Baby: Christmas Bonus,1
0,1,The Batman,1
1,2,Troll,1
2,3,The Noel Diary,2
3,4,The Swimmers,2
4,5,Slumberland,3
5,6,Ghislaine Maxwell: Filthy Rich,2
6,7,The Condemned,1
7,8,Lady Chatterley's Lover,1
8,9,Angel Falls Christmas,1
9,10,My Name Is Vendetta,1
0,1,Slumberland,2
1,2,The Noel Diary,1
2,3,The Wonder,2
3,4,The Swimmers,1
4,5,Christmas with You,2
5,6,Falling for Christmas,3
6,7,Return to Christmas Creek,1
7,8,Heart of Champions,2
8,9,Enola Holmes 2,4
9,10,Ghislaine Maxwell: Filthy Rich,1
0,1,Falling for Christmas,2
1,2,The Wonder,1
2,3,Enola Holmes 2,3
3,4,Heart of Champions,1
4,5,Slumberland,1
5,6,Minions & More Volume 2,2
6,7,Fatale,2
7,8,Medieval,2
8,9,Capturing the Killer Nurse,1
9,10,Christmas with You,1
0,1,Enola Holmes 2,2
1,2,Fatale,1
2,3,Medieval,1
3,4,Falling for Christmas,1
4,5,Enola Holmes,1
5,6,Minions & More Volume 2,1
6,7,All Quiet on the Western Front,3
7,8,Great White,1
8,9,The Good Nurse,3
9,10,Last Holiday,1
0,1,Enola Holmes 2,1
1,2,The Good Nurse,2
2,3,All Quiet on the Western Front,2
3,4,13 Minutes,2
4,5,The School for Good and Evil,3
5,6,The Takeover,1
6,7,Wild Is the Wind,1
7,8,A Wedding for Christmas,1
8,9,Sing,5
9,10,The Boss Baby,5
0,1,The Good Nurse,1
1,2,The School for Good and Evil,2
2,3,13 Minutes,1
3,4,All Quiet on the Western Front,1
4,5,The Stranger,2
5,6,Nobody,2
6,7,Sing,4
7,8,The Boss Baby,4
8,9,Luckiest Girl Alive,4
9,10,Crisis,2
0,1,The School for Good and Evil,1
1,2,Nobody,1
2,3,The Stranger,1
3,4,Luckiest Girl Alive,3
4,5,Sing,3
5,6,King Richard,3
6,7,Crisis,1
7,8,The Boss Baby,3
8,9,The Curse of Bridge Hollow,2
9,10,Blood Work,1
0,1,Luckiest Girl Alive,2
1,2,King Richard,2
2,3,Sing,2
3,4,Mr. Harrigan's Phone,2
4,5,Blackout,1
5,6,The Boss Baby,2
6,7,The Redeem Team,1
7,8,Tag,2
8,9,The Dry,3
9,10,The Curse of Bridge Hollow,1
0,1,Luckiest Girl Alive,1
1,2,The Dry,2
2,3,Mr. Harrigan's Phone,1
3,4,Blonde,2
4,5,Sing,1
5,6,Lou,3
6,7,King Richard,1
7,8,Tag,1
8,9,Tears of the Sun,1
9,10,The Boss Baby,1
0,1,Lou,2
1,2,Blonde,1
2,3,Do Revenge,3
3,4,The Dry,1
4,5,Girl,1
5,6,A Jazzman's Blues,1
6,7,The Matrix Resurrections,3
7,8,Hotel Transylvania 3: Summer Vacation,2
8,9,Dune,5
9,10,I Used to Be Famous,2
0,1,Do Revenge,2
1,2,The Matrix Resurrections,2
2,3,Lou,1
3,4,I Used to Be Famous,1
4,5,The Gift,2
5,6,Dreamland,1
6,7,Dune,4
7,8,Vacation,1
8,9,Me Time,5
9,10,Hotel Transylvania 3: Summer Vacation,1
0,1,The Matrix Resurrections,1
1,2,End of the Road,2
2,3,Do Revenge,1
3,4,Dune,3
4,5,No Limit,1
5,6,Love in the Villa,3
6,7,The Gift,1
7,8,I Came By,3
8,9,Me Time,4
9,10,Smurfs: The Lost Village,1
0,1,Dune,2
1,2,I Came By,2
2,3,Love in the Villa,2
3,4,Me Time,3
4,5,Eye for an Eye,1
5,6,End of the Road,1
6,7,My Favorite Wedding,1
7,8,Cleanskin,1
8,9,Immortals,1
9,10,The Jackal,1
0,1,Me Time,2
1,2,Dune,1
2,3,Love in the Villa,1
3,4,War,1
4,5,I Came By,1
5,6,That's Amor,1
6,7,Look Both Ways,3
7,8,The Wolfman,1
8,9,Loving Adults,1
9,10,A Walk to Remember,1
0,1,Me Time,1
1,2,Look Both Ways,2
2,3,Cry Macho,1
3,4,Day Shift,3
4,5,Untold: The Girlfriend Who Didn't Exist,2
5,6,The Great Wall,1
6,7,The Next 365 Days,2
7,8,The Croods: A New Age,3
8,9,Running with the Devil: The Wild World of John McAfee,1
9,10,The Mummy,1
0,1,Day Shift,2
1,2,Look Both Ways,1
2,3,Sniper: Assassin's End,2
3,4,Untold: The Girlfriend Who Didn't Exist,1
4,5,The Croods: A New Age,2
5,6,Purple Hearts,4
6,7,The Next 365 Days,1
7,8,Let Him Go,2
8,9,The Gray Man,5
9,10,The Game,1
0,1,Let Him Go,1
1,2,Day Shift,1
2,3,The Croods: A New Age,1
3,4,Purple Hearts,3
4,5,The Outpost,1
5,6,The Gray Man,4
6,7,Wedding Season,2
7,8,Sniper: Assassin's End,1
8,9,Carter,2
9,10,All My Life,1
0,1,Purple Hearts,2
1,2,The Gray Man,3
2,3,Wedding Season,1
3,4,The Many Saints of Newark,1
4,5,Lara Croft Tomb Raider: The Cradle of Life,1
5,6,The War with Grandpa,2
6,7,Rampage,1
7,8,The Sea Beast,5
8,9,Jungleland,1
9,10,Carter,1
0,1,The Gray Man,2
1,2,The War with Grandpa,1
2,3,Purple Hearts,1
3,4,The Sea Beast,4
4,5,The Good Shepherd,1
5,6,Persuasion,3
6,7,Shania Twain: Not Just a Girl,1
7,8,Recurrence,1
8,9,13 Going on 30,2
9,10,Unsane,2
0,1,The Gray Man,1
1,2,Persuasion,2
2,3,The Sea Beast,3
3,4,Unsane,1
4,5,Malignant,1
5,6,Girl in the Picture,3
6,7,The Man from Toronto,5
7,8,Run All Night,1
8,9,"10,000 B.C.",1
9,10,13 Going on 30,1
0,1,The Sea Beast,2
1,2,Girl in the Picture,2
2,3,Persuasion,1
3,4,American Made,2
4,5,The Man from Toronto,4
5,6,CHIPS,2
6,7,Escape Plan,2
7,8,The Blind Side,2
8,9,Brawl in Cell Block 99,2
9,10,Valley of the Dead,1
0,1,Girl in the Picture,1
1,2,The Man from Toronto,3
2,3,CHIPS,1
3,4,The Contract,2
4,5,American Made,1
5,6,The Sea Beast,1
6,7,Brawl in Cell Block 99,1
7,8,Escape Plan,1
8,9,The Blind Side,1
9,10,The Arrival,1
0,1,The Man from Toronto,2
1,2,Love & Gelato,2
2,3,Deadlock,2
3,4,The Contract,1
4,5,Hustle,4
5,6,Cleaner,3
6,7,Spiderhead,3
7,8,Killers,1
8,9,Chickenhare and the Hamster of Darkness,3
9,10,The Talented Mr. Ripley,1
0,1,The Man from Toronto,1
1,2,Spiderhead,2
2,3,Cleaner,2
3,4,Hustle,3
4,5,Deadlock,1
5,6,Love & Gelato,1
6,7,Chickenhare and the Hamster of Darkness,2
7,8,Bhool Bhulaiyaa 2,1
8,9,Halftime,2
9,10,Get Hard,1
0,1,Hustle,2
1,2,Spiderhead,1
2,3,Cleaner,1
3,4,2 Hearts,2
4,5,Chickenhare and the Hamster of Darkness,1
5,6,The Contractor,1
6,7,Halftime,1
7,8,The Informer,2
8,9,The Switch,1
9,10,Unlocked,2
0,1,Hustle,1
1,2,The Informer,1
2,3,Interceptor,2
3,4,Unlocked,1
4,5,Safe,2
5,6,2 Hearts,1
6,7,Hotel Mumbai,1
7,8,Just Like Heaven,2
8,9,The Losers,1
9,10,See for Me,1
0,1,Interceptor,1
1,2,Hacksaw Ridge,1
2,3,Blumhouse's Fantasy Island,2
3,4,Angel Eyes,1
4,5,Just Like Heaven,1
5,6,A Perfect Pairing,3
6,7,Hard Target,1
7,8,Senior Year,4
8,9,The Legend of Tarzan,2
9,10,Safe,1
0,1,A Perfect Pairing,2
1,2,Jackass 4.5,2
2,3,The Legend of Tarzan,1
3,4,Senior Year,3
4,5,Blumhouse's Fantasy Island,1
5,6,A Simple Favor,1
6,7,The Lego Movie,1
7,8,RRR (Hindi),1
8,9,Terminator Genisys,2
9,10,Toscana,1
0,1,Senior Year,2
1,2,Reminiscence,1
2,3,A Perfect Pairing,1
3,4,Welcome Home Roscoe Jenkins,1
4,5,The Nightingale,1
5,6,Terminator Genisys,1
6,7,Jackass 4.5,1
7,8,Our Father,2
8,9,Fear,1
9,10,Revolver,1
0,1,Senior Year,1
1,2,Black and Blue,2
2,3,Our Father,1
3,4,The Suicide Squad,2
4,5,Ghost Rider,1
5,6,Along for the Ride,1
6,7,Marmaduke,1
7,8,The 5th Wave,2
8,9,Bohemian Rhapsody,3
9,10,The Takedown,1
0,1,The Suicide Squad,1
1,2,Bohemian Rhapsody,2
2,3,Black and Blue,1
3,4,Perfect Stranger,1
4,5,Cellular,1
5,6,USS Indianapolis: Men of Courage,1
6,7,A Call to Spy,1
7,8,365 Days: This Day,2
8,9,World Trade Center,1
9,10,The 5th Wave,1
0,1,365 Days: This Day,1
1,2,Danger Close: The Battle of Long Tan,2
2,3,Gangubai Kathiawadi,1
3,4,Bohemian Rhapsody,1
4,5,The Mystery of Marilyn Monroe: The Unheard Tapes,1
5,6,Space Jam: A New Legacy,3
6,7,Trolls World Tour,3
7,8,Bad Boys for Life,3
8,9,Sonic the Hedgehog,5
9,10,Cleveland Abduction,3
0,1,Cleveland Abduction,2
1,2,Bad Boys for Life,2
2,3,Space Jam: A New Legacy,2
3,4,Danger Close: The Battle of Long Tan,1
4,5,Charlie's Angels,2
5,6,Trolls World Tour,2
6,7,Sonic the Hedgehog,4
7,8,Jumanji: The Next Level,4
8,9,How It Ends,1
9,10,Choose or Die,1
0,1,Space Jam: A New Legacy,1
1,2,The In Between,2
2,3,Bad Boys for Life,1
3,4,Trolls World Tour,1
4,5,Cleveland Abduction,1
5,6,Jumanji: The Next Level,3
6,7,Zombieland: Double Tap,2
7,8,Charlie's Angels,1
8,9,Hop,1
9,10,Little Women,2
0,1,Jumanji: The Next Level,2
1,2,Bloodshot,2
2,3,Blended,1
3,4,Zombieland: Double Tap,1
4,5,The In Between,1
5,6,Jarhead 2: Field of Fire,1
6,7,The Bubble,2
7,8,Little Women,1
8,9,Knockaround Guys,1
9,10,Fantastic Beasts and Where To Find Them,1
0,1,Bloodshot,1
1,2,Jumanji: The Next Level,1
2,3,The Adam Project,4
3,4,Trust No One: The Hunt for the Crypto King,1
4,5,The Bubble,1
5,6,The Angry Birds Movie 2,4
6,7,The Prince & Me,2
7,8,Sleepless,1
8,9,The Ice Road,4
9,10,Fist Fight,1
0,1,The Adam Project,3
1,2,Black Crab,2
2,3,Rescued by Ruby,2
3,4,Windfall,1
4,5,The Angry Birds Movie 2,3
5,6,'83,1
6,7,The Prince & Me,1
7,8,The Ice Road,3
8,9,Once Upon a Time in Hollywood,3
9,10,The Silencing,2
0,1,The Adam Project,2
1,2,The Angry Birds Movie 2,2
2,3,The Ice Road,2
3,4,Once Upon a Time in Hollywood,2
4,5,The Silencing,1
5,6,Black Crab,1
6,7,Rescued by Ruby,1
7,8,Brian Banks,1
8,9,The Weekend Away,3
9,10,The Bombardment,2
0,1,The Adam Project,1
1,2,The Ice Road,1
2,3,The Weekend Away,2
3,4,The Angry Birds Movie 2,1
4,5,Once Upon a Time in Hollywood,1
5,6,The Town,2
6,7,Justice League,2
7,8,3:10 to Yuma,1
8,9,Focus,1
9,10,The Bombardment,1
0,1,The Weekend Away,1
1,2,The Conjuring: The Devil Made Me Do It,1
2,3,Criminal,1
3,4,Against The Ice,1
4,5,Hell on the Border,1
5,6,The King of Staten Island,1
6,7,A Madea Homecoming,2
7,8,Justice League,1
8,9,The Tinder Swindler,5
9,10,The Town,1
0,1,This Is 40,1
1,2,The Tinder Swindler,4
2,3,Downfall: The Case Against Boeing,1
3,4,Seventh Son,2
4,5,Texas Chainsaw Massacre,2
5,6,A Madea Homecoming,1
6,7,Those Who Wish Me Dead,3
7,8,Last Man Down,2
8,9,Tall Girl 2,3
9,10,Fistful of Vengeance,2
0,1,Seventh Son,1
1,2,The Tinder Swindler,3
2,3,Those Who Wish Me Dead,2
3,4,The Intruder,1
4,5,Tall Girl 2,2
5,6,Texas Chainsaw Massacre,1
6,7,Last Man Down,1
7,8,Fistful of Vengeance,1
8,9,June Again,2
9,10,Crimson Peak,1
0,1,The Tinder Swindler,2
1,2,Tall Girl 2,1
2,3,Tides,1
3,4,Through My Window,1
4,5,June Again,1
5,6,Tyler Perry's The Single Moms Club,1
6,7,Monster-in-Law,2
7,8,Home Team,3
8,9,Those Who Wish Me Dead,1
9,10,Geostorm,2
0,1,The Tinder Swindler,1
1,2,Home Team,2
2,3,After the Sunset,1
3,4,Mortal Kombat,3
4,5,My Best Friend Anne Frank,1
5,6,Monster-in-Law,1
6,7,Geostorm,1
7,8,Meet the Parents,1
8,9,Wonder Woman,1
9,10,Back to the Outback,8
0,1,Mortal Kombat,2
1,2,The Royal Treatment,2
2,3,Emperor,1
3,4,Munich – The Edge of War,1
4,5,Home Team,1
5,6,Dark Shadows,1
6,7,Escape from Pretoria,1
7,8,Back to the Outback,7
8,9,Blow,2
9,10,Spider-Man: Far from Home,4
0,1,Copshop,2
1,2,Brazen,2
2,3,The Royal Treatment,1
3,4,Blow,1
4,5,Mortal Kombat,1
5,6,Prisoners,1
6,7,Riverdance: The Animated Adventure,1
7,8,Spider-Man: Far from Home,3
8,9,Synchronic,1
9,10,Don't Look Up,5
0,1,Spider-Man: Far from Home,2
1,2,Brazen,1
2,3,Copshop,1
3,4,Mother/Android,2
4,5,Don't Look Up,4
5,6,Back to the Outback,6
6,7,Murder by Numbers,2
7,8,21,1
8,9,Point Break,1
9,10,Uncle Drew,1
0,1,Spider-Man: Far from Home,1
1,2,Don't Look Up,3
2,3,The Lost Daughter,2
3,4,Back to the Outback,5
4,5,Mother/Android,1
5,6,The Misfits,2
6,7,Murder by Numbers,1
7,8,Seal Team,1
8,9,Traffik,1
9,10,The Punisher,1
0,1,Don't Look Up,2
1,2,Godzilla vs. Kong,2
2,3,Back to the Outback,4
3,4,Tom and Jerry,2
4,5,The Unforgivable,4
5,6,Spider-Man: Homecoming,3
6,7,The Best of Enemies,1
7,8,The Misfits,1
8,9,The Accountant,3
9,10,The Lost Daughter,1
0,1,Don't Look Up,1
1,2,Back to the Outback,3
2,3,Godzilla vs. Kong,1
3,4,The Accountant,2
4,5,Spider-Man: Homecoming,2
5,6,The Unforgivable,3
6,7,Tom and Jerry,1
7,8,How the Grinch Stole Christmas,2
8,9,The Amazing Spider-Man,1
9,10,Drift,1
0,1,The Unforgivable,2
1,2,Back to the Outback,2
2,3,Men in Black: International,2
3,4,The Accountant,1
4,5,A California Christmas: City Lights,1
5,6,Mr. Church,2
6,7,How the Grinch Stole Christmas,1
7,8,Spider-Man: Homecoming,1
8,9,1917,2
9,10,Elf,3
0,1,The Unforgivable,1
