No,movie,week_at_Top10
8,Shrek Forever After,6
9,Inside Man,1
10,Shark Tale,3
1,Murder Mystery 2,2
2,The Bourne Legacy,2
3,Shark Tale,2
4,Chupa,1
5,Matilda,1
6,Over the Hedge,1
7,Murder Mystery,2
8,Hotel Transylvania,1
9,The Thing,2
10,Dr. Seuss' The Lorax,1
1,Murder Mystery 2,1
2,I See You,2
3,Murder Mystery,1
4,Minions: The Rise of Gru,8
5,Dragged Across Concrete,3
6,The Bourne Legacy,1
7,Diary of a Mad Black Woman,1
8,Sing 2,28❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚
9,Shark Tale,1
10,The Thing,1
1,I See You,1
2,Dragged Across Concrete,2
3,Luther: The Fallen Sun,3
4,Riddick,2
5,Minions: The Rise of Gru,7
6,The Chronicles of Riddick,1
7,The Magician's Elephant,1
8,Sing 2,27❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚
9,The Hunger Games: Catching Fire,4
10,Pitch Black,1
1,Luther: The Fallen Sun,2
2,Dragged Across Concrete,1
3,Money Shot: The Pornhub Story,1
4,The Hunger Games: Catching Fire,3
5,Kick-Ass 2,1
6,The Hunger Games,3
7,Turbo,2
8,World War Z,2
9,Minions: The Rise of Gru,6
10,Riddick,1
1,Luther: The Fallen Sun,1
2,The Hunger Games,2
3,The Hunger Games: Catching Fire,2
4,Turbo,1
5,This Is Where I Leave You,2
6,World War Z,1
7,Burlesque,1
8,The Hunger Games: Mockingjay - Part 1,1
9,The Hunger Games: Mockingjay - Part 2,1
10,Rango,1
1,We Have a Ghost,2
2,R.I.P.D.,1
3,This Is Where I Leave You,1
4,The Hangover: Part III,1
5,The Hunger Games,1
6,Magic Mike XXL,1
7,Minions: The Rise of Gru,5
8,The Strays,2
9,The Hunger Games: Catching Fire,1
10,The Hangover: Part II,1
1,We Have a Ghost,1
2,The Woman King,2
3,2 Guns,2
4,The Strays,1
5,Your Place or Mine,3
6,Minions: The Rise of Gru,4
7,47 Meters Down: Uncaged,2
8,Sing 2,26❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚
9,You People,5
10,"Lyle, Lyle, Crocodile",4
1,Your Place or Mine,2
2,The Woman King,1
3,2 Guns,1
4,Minions: The Rise of Gru,3
5,47 Meters Down: Uncaged,1
6,"Lyle, Lyle, Crocodile",3
7,You People,4
8,Tyler Perry's I Can Do Bad All by Myself,2
9,Sing 2,25❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚❚
10,Trolls,7
1,Your Place or Mine,1
2,Minions: The Rise of Gru,2
3,"Lyle, Lyle, Crocodile",2
4,You People,3
5,Tyler Perry's I Can Do Bad All by Myself,1
6,Enough,1
7,True Spirit,1
8,Bad Boys II,2
9,The Lord of the Rings: The Fellowship of the Ring,1
10,"Pamela, a love story",2
1,You People,2
2,Minions: The Rise of Gru,1
3,"Pamela, a love story",1
4,Viking Wolf,1
5,Flushed Away,1
6,"Lyle, Lyle, Crocodile",1
7,Arctic,1
8,Bad Boys II,1
9,Sing 2,24
10,Glass Onion: A Knives Out Mystery,7
1,You People,1
2,Narvik,1
3,Sing 2,23
4,Glass Onion: A Knives Out Mystery,6
5,JUNG_E,2
6,Trolls,6
7,All Quiet on the Western Front,3
8,The Pez Outlaw,1
9,The Bad Guys,6
10,Dog Gone,3
1,Dog Gone,2
2,The Hatchet Wielding Hitchhiker,2
3,Glass Onion: A Knives Out Mystery,5
4,JUNG_E,1
5,The Pale Blue Eye,3
6,Trolls,5
7,Sing 2,22
8,The Wedding Year,1
9,Transformers: Dark of the Moon,4
10,Transformers: Revenge of the Fallen,3
1,The Hatchet Wielding Hitchhiker,1
2,The Pale Blue Eye,2
3,Glass Onion: A Knives Out Mystery,4
4,Dog Gone,1
5,Transformers: Dark of the Moon,3
6,Life,3
7,Trolls,4
8,Daddy Day Care,1
9,Transformers: Revenge of the Fallen,2
10,Leap Year,1
1,Glass Onion: A Knives Out Mystery,3
2,The Pale Blue Eye,1
3,White Noise,2
4,Trolls,3
5,Roald Dahl's Matilda The Musical,2
6,No Escape,1
7,Life,2
8,King Kong,1
9,Sing 2,21
10,The Longest Yard,3
1,Glass Onion: A Knives Out Mystery,2
2,Roald Dahl's Matilda The Musical,1
3,The Invitation,2
4,Trolls,2
5,White Noise,1
6,After Ever Happy,1
7,Bullet Train,5
8,Sing 2,20
9,Side Effects,1
10,The Bad Guys,5
1,Glass Onion: A Knives Out Mystery,1
2,The Volcano: Rescue from Whakaari,2
3,Bullet Train,4
4,A Bad Moms Christmas,1
5,Trolls,1
6,The Christmas Chronicles,4
7,Prisoners,3
8,I Believe in Santa,2
9,A Not So Merry Christmas,1
10,The Invitation,1
1,Prisoners,2
2,Bullet Train,3
3,Guillermo del Toro’s Pinocchio,2
4,I Believe in Santa,1
5,Storks,2
6,The Best of Me,1
7,Emily the Criminal,2
8,Burnt,1
9,21 Jump Street,5
10,The Volcano: Rescue from Whakaari,1
1,Bullet Train,2
2,Troll,2
3,Emily the Criminal,1
4,Prisoners,1
5,Storks,1
6,Guillermo del Toro’s Pinocchio,1
7,Lady Chatterley's Lover,2
8,21 Jump Street,4
9,The Noel Diary,3
10,My Name Is Vendetta,2
1,Troll,1
2,Bullet Train,1
3,The Noel Diary,2
4,My Name Is Vendetta,1
5,Slumberland,3
6,The Swimmers,2
7,Where the Crawdads Sing,4
8,Lady Chatterley's Lover,1
9,Southpaw,1
10,Ghislaine Maxwell: Filthy Rich,2
1,Slumberland,2
2,The Noel Diary,1
3,Where the Crawdads Sing,3
4,The Bad Guys,4
5,Falling for Christmas,3
6,Christmas with You,2
7,The Wonder,2
8,The Swimmers,1
9,Ghislaine Maxwell: Filthy Rich,1
10,Sing 2,19
1,Where the Crawdads Sing,2
2,Falling for Christmas,2
3,Slumberland,1
4,The Bad Guys,3
5,R.I.P.D. 2: Rise of the Damned,1
6,I Am Vanessa Guillen,1
7,The Wonder,1
8,Christmas with You,1
9,Enola Holmes 2,3
10,Capturing the Killer Nurse,1
1,Enola Holmes 2,2
2,Falling for Christmas,1
3,The Bad Guys,2
4,Where the Crawdads Sing,1
5,Hotel Transylvania 2,2
6,Mile 22,1
7,Captain Phillips,1
8,Enola Holmes,1
9,The Good Nurse,3
10,Minions & More Volume 2,1
1,The Bad Guys,1
2,Enola Holmes 2,1
3,The Good Nurse,2
4,Hotel Transylvania 2,1
5,All Quiet on the Western Front,2
6,Oblivion,1
7,The Takeover,1
8,The School for Good and Evil,3
9,Sing 2,18
10,Man on a Ledge,1
1,The Good Nurse,1
2,The School for Good and Evil,2
3,All Quiet on the Western Front,1
4,Blade of the 47 Ronin,1
5,The Chalk Line,1
6,Sing 2,17
7,Despicable Me 2,13
8,The Curse of Bridge Hollow,3
9,Luckiest Girl Alive,4
10,The Stranger,2
1,The School for Good and Evil,1
2,The Curse of Bridge Hollow,2
3,Luckiest Girl Alive,3
4,Dracula Untold,1
5,Blackout,2
6,The Stranger,1
7,Sing 2,16
8,Megamind,2
9,Despicable Me 2,12
10,Last Seen Alive,4
1,Luckiest Girl Alive,2
2,The Curse of Bridge Hollow,1
3,Blackout,1
4,Mr. Harrigan's Phone,2
5,Megamind,1
6,The Redeem Team,2
7,Last Seen Alive,3
8,Scooby-Doo 2: Monsters Unleashed,1
9,Sing 2,15
10,17 Again,1
1,Last Seen Alive,2
2,Luckiest Girl Alive,1
3,Mr. Harrigan's Phone,1
4,Inheritance,2
5,Rush Hour,1
6,Mr. & Mrs. Smith,1
7,Robin Hood,1
8,Blonde,2
9,Rush Hour 2,1
10,The Redeem Team,1
1,Lou,2
2,Blonde,1
3,A Jazzman's Blues,2
4,Last Seen Alive,1
5,Inheritance,1
6,Father Stu,3
7,Elysium,1
8,The Munsters,1
9,Do Revenge,3
10,Despicable Me 2,11
1,Father Stu,2
2,Lou,1
3,Do Revenge,2
4,This Is the End,2
5,Minions & More Volume 1,1
6,Despicable Me 2,10
7,A Jazzman's Blues,1
8,The Mortal Instruments: City of Bones,1
9,Sing 2,14
10,Despicable Me,7
1,End of the Road,2
2,Morbius,2
3,Despicable Me 2,9
4,Do Revenge,1
5,This Is the End,1
6,Father Stu,1
7,Despicable Me,6
8,Sing 2,13
9,No Limit,1
10,Friday,1
1,Morbius,1
2,End of the Road,1
3,Me Time,3
4,Despicable Me 2,8
5,Love in the Villa,2
6,This Is 40,2
7,Despicable Me,5
8,I Came By,2
9,The Poison Rose,1
10,Sing 2,12
1,Me Time,2
2,Love in the Villa,1
3,I Came By,1
4,Collateral,1
5,This Is 40,1
6,Sing 2,11
7,Loving Adults,1
8,That's Amor,1
9,Snow White & the Huntsman,1
10,Look Both Ways,3
1,Me Time,1
2,Look Both Ways,2
3,Untold: The Girlfriend Who Didn't Exist,2
4,Day Shift,3
5,Running with the Devil: The Wild World of John McAfee,1
6,Sing 2,10
7,Uncharted,4
8,The Next 365 Days,2
9,The Gray Man,6
10,Untold: The Rise and Fall of AND1,1
1,Day Shift,2
2,Look Both Ways,1
3,Untold: The Girlfriend Who Didn't Exist,1
4,Uncharted,3
5,Sing 2,9
6,Purple Hearts,4
7,The Next 365 Days,1
8,The Informer,2
9,The Gray Man,5
10,Endless Love,1
1,Uncharted,2
2,Day Shift,1
3,Purple Hearts,3
4,The Informer,1
5,Sing 2,8
6,Flight,1
7,The Gray Man,4
8,The Nice Guys,1
9,Wedding Season,2
10,Carter,2
1,Purple Hearts,2
2,Uncharted,1
3,The Gray Man,3
4,The Age of Adaline,1
5,Men in Black 3,1
6,Tower Heist,1
7,Sing 2,7
8,Wedding Season,1
9,Spider-Man 2,1
10,Carter,1
1,The Gray Man,2
2,Purple Hearts,1
3,Sing 2,6
4,The Sea Beast,4
5,Recurrence,1
6,The Man from Toronto,6
7,Persuasion,3
8,12 Strong,3
9,Shania Twain: Not Just a Girl,1
10,Too Old for Fairy Tales,1
1,The Gray Man,1
2,Sing 2,5
3,The Sea Beast,3
4,Persuasion,2
5,CHIPS,2
6,12 Strong,2
7,Girl in the Picture,3
8,The Man from Toronto,5
9,Pan,1
10,Mean Girls,3
1,The Sea Beast,2
2,Sing 2,4
3,12 Strong,1
4,Girl in the Picture,2
5,Persuasion,1
6,CHIPS,1
7,The Man from Toronto,4
8,Mean Girls,2
9,Barefoot,1
10,The Dark Knight Rises,2
1,Sing 2,3
2,Girl in the Picture,1
3,The Man from Toronto,3
4,Mean Girls,1
5,The Sea Beast,1
6,The Dark Knight Rises,1
7,Final Score,1
8,Wanted,1
9,Leave No Trace,1
10,Wild Card,2
1,Sing 2,2
2,The Man from Toronto,2
3,The Mist,2
4,Hustle,4
5,Backtrace,2
6,Love & Gelato,2
7,Spiderhead,3
8,Wild Card,1
9,It,3
10,Old School,1
1,Sing 2,1
2,The Man from Toronto,1
3,Spiderhead,2
4,The Mist,1
5,It,2
6,Hustle,3
7,Love & Gelato,1
8,Backtrace,1
9,Chickenhare and the Hamster of Darkness,2
10,Halftime,2
1,Hustle,2
2,Spiderhead,1
3,Halftime,1
4,Chickenhare and the Hamster of Darkness,1
5,The Amazing Spider-Man,3
6,Mission: Impossible - Ghost Protocol,2
7,Titanic,6
8,Interceptor,3
9,It,1
10,Collision,1
1,Hustle,1
2,Interceptor,2
3,The Amazing Spider-Man,2
4,Mission: Impossible - Ghost Protocol,1
5,Titanic,5
6,Dumb and Dumber,1
7,"10,000 B.C.",1
8,The Hurt Locker,1
9,Mission: Impossible,1
10,Brahms: The Boy II,1
1,The Amazing Spider-Man,1
2,Disappearance at Clifton Hill,1
3,Interceptor,1
4,Anchorman: The Legend of Ron Burgundy,1
5,Senior Year,4
6,A Perfect Pairing,3
7,We Die Young,1
8,Top Gun,2
9,RRR (Hindi),2
10,Charlie and the Chocolate Factory,6
1,Senior Year,3
2,A Perfect Pairing,2
3,Jackass 4.5,2
4,Top Gun,1
5,Ben Is Back,1
6,Charlie and the Chocolate Factory,5
7,Our Father,3
8,Toscana,1
9,F*ck Love Too,1
10,RRR (Hindi),1
1,Senior Year,2
2,A Perfect Pairing,1
3,Our Father,2
4,Borrego,1
5,Jackass 4.5,1
6,Operation Mincemeat,2
7,Marmaduke,2
8,Den of Thieves,3
9,Charlie and the Chocolate Factory,4
10,Happy Gilmore,3
1,Senior Year,1
2,Our Father,1
3,Operation Mincemeat,1
4,U.S. Marshals,2
5,Den of Thieves,2
6,Marmaduke,1
7,Happy Gilmore,2
8,The Takedown,1
9,Forgetting Sarah Marshall,1
10,Forrest Gump,2
1,The Gentlemen,1
2,U.S. Marshals,1
3,Rambo: Last Blood,1
4,Den of Thieves,1
5,Kung Fu Panda 3,2
6,War of the Worlds,1
7,Forrest Gump,1
8,Happy Gilmore,1
9,Honeymoon with My Mother,1
10,Rambo,1
1,365 Days: This Day,1
2,The Mystery of Marilyn Monroe: The Unheard Tapes,1
3,How It Ends,2
4,Silverton Siege,1
5,Kung Fu Panda 3,1
6,Shrek Forever After,5
7,White Hot: The Rise & Fall of Abercrombie & Fitch,2
8,Shrek,7
9,Cleaner,3
10,The Adam Project,8
1,White Hot: The Rise & Fall of Abercrombie & Fitch,1
2,Cleaner,2
3,Choose or Die,2
4,How It Ends,1
5,Shrek Forever After,4
6,Shrek,6
7,The Adam Project,7
8,The Blind Side,4
9,Shrek 2,6
10,Ouija: Origin of Evil,1
1,The Call,1
2,Cleaner,1
3,Without a Paddle,2
4,Choose or Die,1
5,Shrek Forever After,3
6,Catch and Release,2
7,Four Brothers,2
8,Hop,1
9,The Blind Side,3
10,The Adam Project,6
1,The Blind Side,2
2,Shrek Forever After,2
3,Four Brothers,1
4,Without a Paddle,1
5,Monster-in-Law,1
6,The Bubble,2
7,Molly's Game,1
8,Catch and Release,1
9,Blow,1
10,The Adam Project,5
1,The Blind Side,1
2,Blade Runner 2049,2
3,Shrek Forever After,1
4,The Adam Project,4
5,The Bubble,1
6,Trust No One: The Hunt for the Crypto King,1
7,Shrek,5
8,Shrek 2,5
9,Sherlock Holmes: A Game of Shadows,1
10,Blade: Trinity,1
1,The Adam Project,3
2,Black Crab,2
3,A Walk Among the Tombstones,2
4,Rescued by Ruby,2
5,Blade Runner 2049,1
6,Windfall,2
7,Shrek,4
8,London Has Fallen,2
9,Shrek 2,4
10,In Good Hands,1
1,The Adam Project,2
2,A Walk Among the Tombstones,1
3,Black Crab,1
4,Rescued by Ruby,1
5,Shrek,3
6,Shrek 2,3
7,London Has Fallen,1
8,A Madea Homecoming,4
9,Despicable Me 2,7
10,Windfall,1
1,The Adam Project,1
2,Shrek,2
3,Shrek 2,2
4,Shooter,1
5,A Madea Homecoming,3
6,The Weekend Away,2
7,Coach Carter,1
8,21,1
9,The Green Mile,1
10,Despicable Me 2,6
1,A Madea Homecoming,2
2,Shrek 2,1
3,The Weekend Away,1
4,Just Like Heaven,1
5,Battleship,1
6,21 Bridges,1
7,Against The Ice,1
8,Shrek,1
9,Despicable Me 2,5
10,Restless,2
1,A Madea Homecoming,1
2,Despicable Me 2,4
3,Texas Chainsaw Massacre,2
4,The Tinder Swindler,4
5,St. Vincent,2
6,Despicable Me,4
7,Blackhat,2
8,Restless,1
9,Downfall: The Case Against Boeing,1
10,Halloween,1
1,Texas Chainsaw Massacre,1
2,Despicable Me 2,3
3,St. Vincent,1
4,The Tinder Swindler,3
5,Blackhat,1
6,Tall Girl 2,2
7,Despicable Me,3
8,Fistful of Vengeance,1
9,The Hangover,2
10,Last Man Down,1
1,The Tinder Swindler,2
2,Despicable Me 2,2
3,Despicable Me,2
4,Tall Girl 2,1
5,The Hangover,1
6,Transformers: Dark of the Moon,2
7,The Other Guys,1
8,Home Team,3
9,Through My Window,1
10,Warrior,1
1,Home Team,2
2,Despicable Me 2,1
3,The Tinder Swindler,1
4,Transformers: Revenge of the Fallen,1
5,Can You Keep a Secret?,1
6,The Lucky One,1
7,Despicable Me,1
8,Transformers: Dark of the Moon,1
9,That's My Boy,1
10,Countdown,1
1,Home Team,1
2,The Royal Treatment,2
3,Munich – The Edge of War,1
4,Don't Look Up,6
5,Aileen Wuornos: American Boogeywoman,1
6,Annabelle: Creation,2
7,Just Go With It,4
8,My Father's Violin,1
9,Journey 2: The Mysterious Island,4
10,Amandla,1
1,The Royal Treatment,1
2,Brazen,2
3,After We Fell,1
4,Don't Look Up,5
5,Annabelle: Creation,1
6,Under Suspicion,1
7,Riverdance: The Animated Adventure,1
8,Just Go With It,3
9,Charlie and the Chocolate Factory,3
10,The God Committee,1
1,Brazen,1
2,Don't Look Up,4
3,Tides,1
4,Just Go With It,2
5,The Longest Yard,2
6,Charlie and the Chocolate Factory,2
7,The Town,2
8,Journey 2: The Mysterious Island,3
9,First Sunday,2
10,300,1
1,Don't Look Up,3
2,Journey 2: The Mysterious Island,2
3,The Longest Yard,1
4,Just Go With It,1
5,The Town,1
6,The Lost Daughter,2
7,Charlie and the Chocolate Factory,1
8,Dark Shadows,1
9,Rise of the Guardians,1
10,First Sunday,1
1,Don't Look Up,2
2,The Lost Daughter,1
3,The Unforgivable,4
4,Back to the Outback,4
5,Journey 2: The Mysterious Island,1
6,Death to 2021,1
7,Red Notice,8
8,Vicky and Her Mystery,1
9,The Shack,4
10,Oldboy,2
1,Don't Look Up,1
2,The Unforgivable,3
3,Back to the Outback,3
4,The Christmas Chronicles,3
5,The Christmas Chronicles: Part Two,2
6,A Boy Called Christmas,4
7,A California Christmas: City Lights,2
8,Red Notice,7
9,The Shack,3
10,Oldboy,1
1,The Unforgivable,2
2,The Shack,2
3,Back to the Outback,2
4,A California Christmas: City Lights,1
5,Law Abiding Citizen,2
6,Peter Rabbit 2,2
7,Red Notice,6
8,Dr. Seuss' The Cat in the Hat,2
9,The Christmas Chronicles,2
10,The Christmas Chronicles: Part Two,1
1,The Unforgivable,1
2,Law Abiding Citizen,1
3,The Shack,1
4,Red Notice,5
5,Peter Rabbit 2,1
6,The Power of the Dog,2
7,Back to the Outback,1
8,Single All The Way,2
9,A Boy Called Christmas,3
10,Dr. Seuss' The Cat in the Hat,1
1,The Power of the Dog,1
2,Bruised,2
3,A Castle For Christmas,2
4,Red Notice,4
5,Life,1
6,A Boy Called Christmas,2
7,Single All The Way,1
8,Fool's Gold,1
9,14 Peaks: Nothing Is Impossible,1
10,Looper,1
1,Bruised,1
2,Red Notice,3
3,A Boy Called Christmas,1
4,A Castle For Christmas,1
5,Here Comes the Boom,1
6,Extinct,2
7,The Harder They Fall,4
8,The Princess Switch 3: Romancing the Star,2
9,Love Hard,4
10,The Christmas Chronicles,1
1,Red Notice,2
2,Love Hard,3
3,The Harder They Fall,3
4,The Princess Switch 3: Romancing the Star,1
5,American Reunion,1
6,Snowbound for Christmas,1
7,The Holiday,6
8,21 Jump Street,3
9,Mariah Carey's All I Want for Christmas Is You,1
10,Extinct,1
1,Red Notice,1
2,Love Hard,2
3,The Harder They Fall,2
4,21 Jump Street,2
5,Passing,1
6,Father Christmas Is Back,1
7,Army of Thieves,3
8,Seized,1
9,American Gangster,2
10,The Holiday,5
1,The Harder They Fall,1
2,Army of Thieves,2
3,21 Jump Street,1
4,Love Hard,1
5,American Gangster,1
6,Replicas,1
7,King Arthur: Legend of the Sword,2
8,The General's Daughter,1
9,Army of the Dead,1
10,Hypnotic,2
1,Army of Thieves,1
2,King Arthur: Legend of the Sword,1
3,Hypnotic,1
4,Night Teeth,2
5,Titanic,4
6,Going in Style,3
7,Hubie Halloween,1
8,The Forgotten Battle,3
9,The Holiday,4
10,Home,5
1,Night Teeth,1
2,The Forgotten Battle,2
3,Going in Style,2
4,Titanic,3
5,Apocalypse Now Redux,1
6,The Trip,1
7,My Little Pony: A New Generation,5
8,Reprisal,1
9,Scary Movie 4,1
10,The Holiday,3
1,Going in Style,1
2,Titanic,2
3,The Forgotten Battle,1
4,The Guilty,3
5,Something Borrowed,2
6,My Little Pony: A New Generation,4
7,The Karate Kid,2
8,Jumanji,1
9,The Holiday,2
10,Gladiator,2
1,The Guilty,2
2,Titanic,1
3,There's Someone Inside Your House,1
4,The DUFF,2
5,My Little Pony: A New Generation,3
6,Gladiator,1
7,Step Brothers,1
8,Something Borrowed,1
9,The Karate Kid,1
10,The Holiday,1
1,The Guilty,1
2,My Little Pony: A New Generation,2
3,The Starling,2
4,Britney Vs Spears,1
5,Grown Ups,2
6,No One Gets Out Alive,1
7,Intrusion,2
8,The DUFF,1
9,Vivo,9
10,Till Death,1
1,Intrusion,1
2,Grown Ups,1
3,The Starling,1
4,Safe House,2
5,My Little Pony: A New Generation,1
6,The Father Who Moves Mountains,2
7,Kate,3
8,Vivo,8
9,Jaws,1
10,An Unfinished Life,3
1,Kate,2
2,Safe House,1
3,An Unfinished Life,2
4,Prey,1
5,Nightbooks,1
6,Firedrake the Silver Dragon,1
7,Vivo,7
8,School of Rock,2
9,The Father Who Moves Mountains,1
10,Wind River,3
1,Kate,1
2,Worth,1
3,Afterlife of the Party,2
4,Welcome Home Roscoe Jenkins,2
5,An Unfinished Life,1
6,School of Rock,1
7,Wind River,2
8,Green Lantern,2
9,Vivo,6
10,Freedom Writers,1
1,He's All That,2
2,SAS: Rise of the Black Swan,2
3,Afterlife of the Party,1
4,Welcome Home Roscoe Jenkins,1
5,Green Lantern,1
6,Vivo,5
7,Wind River,1
8,Sweet Girl,3
9,The November Man,1
