No,movie,week_at_Top10
8,Into the Storm,1
9,Mission: Impossible - Rogue Nation,2
10,Chaos Walking,1
1,Murder Mystery 2,2
2,Mission: Impossible - Fallout,1
3,The Many Saints of Newark,1
4,Murder Mystery,2
5,"10,000 B.C.",1
6,Mission: Impossible - Rogue Nation,1
7,Reminiscence,1
8,Chupa,1
9,New York Minute,1
10,Something's Gotta Give,1
1,Murder Mystery 2,1
2,The Suicide Squad,2
3,Murder Mystery,1
4,I See You,2
5,The War with Grandpa,2
6,Kill Boksoon,1
7,Bullet to the Head,2
8,Interstellar,2
9,Luther: The Fallen Sun,4
10,Jackass Forever,2
1,The Suicide Squad,1
2,The War with Grandpa,1
3,I See You,1
4,Interstellar,1
5,Luther: The Fallen Sun,3
6,Jackass Forever,1
7,The Magician's Elephant,1
8,Bullet to the Head,1
9,Money Shot: The Pornhub Story,2
10,Home,3
1,Luther: The Fallen Sun,2
2,Money Shot: The Pornhub Story,1
3,Scream,2
4,The Tall Man,1
5,Wanted,1
6,Breaking,1
7,Splice,1
8,Central Intelligence,3
9,Home,2
10,Faraway,2
1,Luther: The Fallen Sun,1
2,Scream,1
3,Couples Retreat,2
4,Central Intelligence,2
5,Space Jam: A New Legacy,2
6,The Intern,2
7,News of the World,2
8,Faraway,1
9,The Unholy,1
10,Promising Young Woman,2
1,News of the World,1
2,We Have a Ghost,2
3,Space Jam: A New Legacy,1
4,The Intern,1
5,Central Intelligence,1
6,Promising Young Woman,1
7,Couples Retreat,1
8,Knockaround Guys,1
9,Come Play,1
10,Gran Torino,1
1,We Have a Ghost,1
2,The Judge,2
3,Your Place or Mine,3
4,I Care a Lot,1
5,The Legend of Tarzan,2
6,The Strays,1
7,San Andreas,2
8,The Mummy,2
9,She's the Man,2
10,Vacation,4
1,Your Place or Mine,2
2,The Judge,1
3,The Legend of Tarzan,1
4,San Andreas,1
5,The Mummy,1
6,She's the Man,1
7,Vacation,3
8,Forgetting Sarah Marshall,1
9,You People,4
10,Medieval,2
1,Your Place or Mine,1
2,Vacation,2
3,Medieval,1
4,You People,3
5,"Pamela, a love story",2
6,True Spirit,2
7,Mystic River,1
8,Spawn,1
9,Son of the Mask,1
10,"Crazy, Stupid, Love.",1
1,You People,2
2,"Pamela, a love story",1
3,John Q,1
4,Miss Congeniality 2: Armed and Fabulous,1
5,Vacation,1
6,All My Life,1
7,Viking Wolf,1
8,City of Lies,1
9,True Spirit,1
10,Vendetta,1
1,You People,1
2,Narvik,1
3,The Conjuring: The Devil Made Me Do It,2
4,Snake Eyes: G.I. Joe Origins,2
5,Glass Onion: A Knives Out Mystery,6
6,Fall,3
7,Drift,1
8,JUNG_E,2
9,All Quiet on the Western Front,4
10,Mission Majnu,2
1,Snake Eyes: G.I. Joe Origins,1
2,Fall,2
3,Don't Say a Word,1
4,Dog Gone,2
5,Glass Onion: A Knives Out Mystery,5
6,The Hatchet Wielding Hitchhiker,2
7,A Quiet Place Part II,2
8,The Conjuring: The Devil Made Me Do It,1
9,JUNG_E,1
10,Mission Majnu,1
1,The Hatchet Wielding Hitchhiker,1
2,Fall,1
3,The Pale Blue Eye,2
4,The Change-Up,2
5,Glass Onion: A Knives Out Mystery,4
6,Dog Gone,1
7,Let Him Go,3
8,The Interview,1
9,Cutthroat Island,1
10,A Quiet Place Part II,1
1,Let Him Go,2
2,Glass Onion: A Knives Out Mystery,3
3,The Pale Blue Eye,1
4,Bastille Day,1
5,Those Who Wish Me Dead,2
6,The Change-Up,1
7,Roald Dahl's Matilda The Musical,2
8,White Noise,2
9,The Punisher,1
10,Freaky,1
1,Glass Onion: A Knives Out Mystery,2
2,Roald Dahl's Matilda The Musical,1
3,Those Who Wish Me Dead,1
4,White Noise,1
5,After Ever Happy,1
6,Fatale,3
7,Let Him Go,1
8,How the Grinch Stole Christmas,12
9,The Volcano: Rescue from Whakaari,3
10,Rumble,2
1,Glass Onion: A Knives Out Mystery,1
2,How the Grinch Stole Christmas,11
3,Fatale,2
4,The Volcano: Rescue from Whakaari,2
5,A Bad Moms Christmas,4
6,Dreamland,1
7,Rumble,1
8,The Christmas Chronicles,2
9,The Night Before,2
10,I Believe in Santa,2
1,Mortal Kombat,2
2,How the Grinch Stole Christmas,10
3,I Believe in Santa,1
4,Fatale,1
5,The Croods: A New Age,1
6,The Volcano: Rescue from Whakaari,1
7,Guillermo del Toro’s Pinocchio,2
8,Emily the Criminal,2
9,It Takes Two,1
10,God's Crooked Lines,1
1,Troll,2
2,How the Grinch Stole Christmas,9
3,Emily the Criminal,1
4,Mortal Kombat,1
5,Lady Chatterley's Lover,2
6,2 Hearts,2
7,Guillermo del Toro’s Pinocchio,1
8,The Night Before,1
9,The Resident,1
10,The Noel Diary,3
1,Troll,1
2,The Noel Diary,2
3,The Swimmers,2
4,My Name Is Vendetta,1
5,Lady Chatterley's Lover,1
6,Ghislaine Maxwell: Filthy Rich,2
7,How the Grinch Stole Christmas,8
8,2 Hearts,1
9,Slumberland,3
10,Falling for Christmas,4
1,The Noel Diary,1
2,Slumberland,2
3,The Swimmers,1
4,Godzilla vs. Kong,2
5,Ghislaine Maxwell: Filthy Rich,1
6,Falling for Christmas,3
7,Christmas with You,2
8,Christmas on Mistletoe Farm,1
9,Monster Hunter,2
10,The Wonder,2
1,Falling for Christmas,2
2,Godzilla vs. Kong,1
3,The Wonder,1
4,Christmas with You,1
5,Slumberland,1
6,Enola Holmes 2,3
7,Monster Hunter,1
8,Capturing the Killer Nurse,2
9,A Bad Moms Christmas,3
10,Minions & More Volume 2,2
1,Falling for Christmas,1
2,Enola Holmes 2,2
3,A Bad Moms Christmas,2
4,All Quiet on the Western Front,3
5,Hostage,1
6,The Firm,1
7,Enola Holmes,1
8,Minions & More Volume 2,1
9,Capturing the Killer Nurse,1
10,The Good Nurse,3
1,Enola Holmes 2,1
2,A Bad Moms Christmas,1
3,All Quiet on the Western Front,2
4,The Good Nurse,2
5,The Takeover,1
6,The School for Good and Evil,3
7,The Great Wall,1
8,Wild Is the Wind,1
9,Minions,7
10,Barnyard,1
1,The Good Nurse,1
2,The School for Good and Evil,2
3,All Quiet on the Western Front,1
4,Minions,6
5,The Chalk Line,1
6,Despicable Me 2,4
7,Despicable Me,3
8,Sing,4
9,Luckiest Girl Alive,4
10,Robin Hood,2
1,The Good Nurse,1
2,The School for Good and Evil,2
3,All Quiet on the Western Front,1
4,Minions,6
5,The Chalk Line,1
6,Despicable Me 2,4
7,Despicable Me,3
8,Sing,4
9,Luckiest Girl Alive,4
10,Robin Hood,2
1,The Good Nurse,1
2,The School for Good and Evil,2
3,All Quiet on the Western Front,1
4,Minions,6
5,The Chalk Line,1
6,Despicable Me 2,4
7,Despicable Me,3
8,Sing,4
9,Luckiest Girl Alive,4
10,Robin Hood,2
1,Luckiest Girl Alive,1
2,Mr. Harrigan's Phone,1
3,Home Again,2
4,Sleepers,1
5,Sing,1
6,The Deep End of the Ocean,1
7,Blonde,2
8,Buddy Games,1
9,Lou,3
10,The Redeem Team,1
1,Lou,2
2,Blonde,1
3,The Witches,1
4,The Little Things,3
5,Do Revenge,3
6,Minions & More Volume 1,2
7,Home Again,1
8,A Jazzman's Blues,2
9,A Trip to Infinity,1
10,ATHENA,1
1,The Little Things,2
2,Do Revenge,2
3,Lou,1
4,Minions & More Volume 1,1
5,I Used to Be Famous,1
6,The Family,2
7,Me Time,5
8,A Jazzman's Blues,1
9,Travelin' Band: Creedence Clearwater Revival at the Royal Albert Hall,1
10,The SpongeBob Movie: Sponge on the Run,3
1,The Little Things,1
2,Do Revenge,1
3,End of the Road,2
4,No Limit,2
5,The Family,1
6,The Road,1
7,The SpongeBob Movie: Sponge on the Run,2
8,Me Time,4
9,Love in the Villa,3
10,The Last Shift,1
1,Love in the Villa,2
2,End of the Road,1
3,Me Time,3
4,I Came By,2
5,Cleveland Abduction,2
6,The SpongeBob Movie: Sponge on the Run,1
7,Escape from Alcatraz,1
8,Loving Adults,2
9,No Limit,1
10,Get Smart With Money,1
1,Me Time,2
2,Love in the Villa,1
3,I Came By,1
4,Loving Adults,1
5,That's Amor,1
6,Cleveland Abduction,1
7,Look Both Ways,3
8,Running with the Devil: The Wild World of John McAfee,2
9,Untold: Operation Flagrant Foul,1
10,Day Shift,4
1,Me Time,1
2,Look Both Ways,2
3,Running with the Devil: The Wild World of John McAfee,1
4,Day Shift,3
5,Untold: The Girlfriend Who Didn't Exist,2
6,An Unfinished Life,2
7,The Next 365 Days,2
8,Wonder Woman 1984,3
9,The Gray Man,6
10,Inside the Mind of a Cat,2
1,Day Shift,2
2,Look Both Ways,1
3,An Unfinished Life,1
4,Wonder Woman 1984,2
5,Untold: The Girlfriend Who Didn't Exist,1
6,The Next 365 Days,1
7,Downsizing,2
8,Purple Hearts,4
9,The Gray Man,5
10,Inside the Mind of a Cat,1
1,Day Shift,1
2,Purple Hearts,3
3,Downsizing,1
4,The Gray Man,4
5,Wedding Season,2
6,Wonder Woman 1984,1
7,Made in Italy,1
8,Carter,2
9,Tenet,2
10,Everything Must Go,1
1,Purple Hearts,2
2,Tenet,1
3,The Gray Man,3
4,Wedding Season,1
5,Carter,1
6,The Desperate Hour,2
7,Shania Twain: Not Just a Girl,2
8,The Sea Beast,5
9,Heist,1
10,Daddy Day Camp,1
1,The Gray Man,2
2,Purple Hearts,1
3,Shania Twain: Not Just a Girl,1
4,The Sea Beast,4
5,Irresistible,2
6,Recurrence,1
7,The Desperate Hour,1
8,The Rental,2
9,Persuasion,3
10,The Man from Toronto,6
1,The Gray Man,1
2,The Sea Beast,3
3,Persuasion,2
4,The Man from Toronto,5
5,Girl in the Picture,3
6,The Rental,1
7,Irresistible,1
8,Hustle,6
9,The King of Staten Island,4
10,Hector and the Search for Happiness,2
1,The Sea Beast,2
2,Girl in the Picture,2
3,Persuasion,1
4,The Man from Toronto,4
5,The King of Staten Island,3
6,Valley of the Dead,1
7,Hector and the Search for Happiness,1
8,Hustle,5
9,The Stepfather,2
10,Outlander,2
1,Girl in the Picture,1
2,The King of Staten Island,2
3,The Man from Toronto,3
4,The Sea Beast,1
5,Final Score,2
6,Angel Eyes,2
7,Outlander,1
8,The Stepfather,1
9,Cold Mountain,2
10,The High Note,1
1,The Man from Toronto,2
2,Love & Gelato,2
3,The King of Staten Island,1
4,Hustle,4
5,Final Score,1
6,Spiderhead,3
7,Angel Eyes,1
8,Cold Mountain,1
9,S.W.A.T.: Firefight,1
10,Den of Thieves,2
1,The Man from Toronto,1
2,Spiderhead,2
3,Hustle,3
4,Love & Gelato,1
5,The Devil's Advocate,1
6,Halftime,2
7,Den of Thieves,1
8,Chickenhare and the Hamster of Darkness,2
9,Trolls World Tour,4
10,Bhool Bhulaiyaa 2,1
1,Hustle,2
2,Spiderhead,1
3,Halftime,1
4,Chickenhare and the Hamster of Darkness,1
5,Trolls World Tour,3
6,The Guilt Trip,1
7,Body Cam,1
8,Labor Day,2
9,Blacklight,3
10,Divergent,3
1,Hustle,1
2,Blacklight,2
3,Interceptor,2
4,Divergent,2
5,Labor Day,1
6,Trolls World Tour,2
7,The Divergent Series: Insurgent,2
8,The Divergent Series: Allegiant - Part 1,2
9,The Way Back,1
10,Mr. & Mrs. Smith,2
1,Divergent,1
2,Blacklight,1
3,Interceptor,1
4,Trolls World Tour,1
5,The Divergent Series: Insurgent,1
6,21 Bridges,1
7,Mr. & Mrs. Smith,1
8,The Divergent Series: Allegiant - Part 1,1
9,Heart of Champions,1
10,Sonic the Hedgehog,4
1,A Perfect Pairing,2
2,Jackass 4.5,2
3,Sonic the Hedgehog,3
4,Senior Year,3
5,Deep Blue Sea 3,1
6,Toscana,2
7,RRR (Hindi),1
8,F*ck Love Too,1
9,Our Father,3
10,Operation Mincemeat,3
1,Senior Year,2
2,Sonic the Hedgehog,2
3,A Perfect Pairing,1
4,Jackass 4.5,1
5,Our Father,2
6,Operation Mincemeat,2
7,Borrego,1
8,Toscana,1
9,The Perfect Family,1
10,Mafia Inc.,1
1,Senior Year,1
2,Our Father,1
3,Operation Mincemeat,1
4,The Takedown,2
5,Marmaduke,1
6,Along for the Ride,1
7,Without a Paddle,2
8,Sonic the Hedgehog,1
9,Jason Bourne,1
10,Dolittle,2
1,The Hunt,1
2,Dolittle,1
3,1917,1
4,Sniper: Assassin's End,1
5,Without a Paddle,1
6,The Takedown,1
7,Absolute Power,1
8,Eagle Eye,1
9,Old Henry,2
10,Showtime,1
1,365 Days: This Day,1
2,My Spy,1
3,The Mystery of Marilyn Monroe: The Unheard Tapes,1
4,American Gangster,1
5,One Shot,1
6,Gangubai Kathiawadi,1
7,The Secret Life of Pets,1
8,Silverton Siege,1
9,Line of Duty,2
10,Old Henry,1
1,Line of Duty,1
2,White Hot: The Rise & Fall of Abercrombie & Fitch,1
3,Cloud Atlas,1
4,The Whistleblower,1
5,Mile 22,2
6,Choose or Die,2
7,The In Between,3
8,Cleaner,4
9,Reprisal,2
10,The Adam Project,7
1,The In Between,2
2,Mile 22,1
3,Cleaner,3
4,Angel Has Fallen,2
5,Choose or Die,1
6,Return to Space,1
7,Reprisal,1
8,Aileen Wuornos: American Boogeywoman,1
9,The Adam Project,6
10,Metal Lords,1
1,Angel Has Fallen,1
2,Cleaner,2
3,The In Between,1
4,Dark Waters,2
5,R.I.P.D.,1
6,The Bubble,2
7,Warcraft,1
8,3 Days to Kill,1
9,8 Mile,1
10,The Adam Project,5
1,Dark Waters,1
2,Trust No One: The Hunt for the Crypto King,1
3,The Bubble,1
4,The Adam Project,4
5,Rambo: Last Blood,1
6,Like a Boss,1
7,6 Underground,1
8,A Walk Among the Tombstones,1
9,The Wedding Year,1
10,Cleaner,1
1,The Adam Project,3
2,Out of Death,1
3,The Invisible Man,2
4,Black Crab,2
5,Get Hard,2
6,Rescued by Ruby,2
7,Windfall,1
8,Mad Max: Fury Road,2
9,'83,1
10,In Good Hands,1
1,The Adam Project,2
2,Get Hard,1
3,Black Crab,1
4,Mad Max: Fury Road,1
5,Rescued by Ruby,1
6,The Invisible Man,1
7,The Pelican Brief,1
8,The Specialist,1
9,The Long Kiss Goodnight,1
10,The Last Samurai,1
1,The Adam Project,1
2,The Weekend Away,2
3,The Boss,1
4,The Bombardment,1
5,Scoob!,3
6,Against The Ice,2
7,Killerman,1
8,Dead Man Down,2
9,Badhaai Do,1
10,Ted,1
1,The Weekend Away,1
2,Against The Ice,1
3,Scoob!,2
4,Bombshell,2
5,A Madea Homecoming,2
6,Dead Man Down,1
7,3 From Hell,1
8,Restless,2
9,The Tinder Swindler,5
10,The Misfits,2
1,The Misfits,1
2,Focus,2
3,A Madea Homecoming,1
4,The Tinder Swindler,4
5,Scoob!,1
6,Bombshell,1
7,Downfall: The Case Against Boeing,2
8,Tammy,2
9,A Cinderella Story,2
10,Restless,1
1,Focus,1
2,The Tinder Swindler,3
3,Tammy,1
4,Texas Chainsaw Massacre,1
5,Finding You,2
6,Tall Girl 2,2
7,Downfall: The Case Against Boeing,1
8,Fistful of Vengeance,1
9,The Clovehitch Killer,2
10,A Cinderella Story,1
1,The Tinder Swindler,2
2,Tall Girl 2,1
3,The Clovehitch Killer,1
4,Finding You,1
5,Horrible Bosses 2,2
6,Through My Window,2
7,Killer Elite,2
8,The Huntsman: Winter's War,1
9,American Reunion,1
10,The Privilege,1
1,The Tinder Swindler,1
2,Home Team,2
3,Horrible Bosses 2,1
4,Transporter 3,1
5,Killer Elite,1
6,Daylight,1
7,Every Breath You Take,1
8,My Best Friend Anne Frank,1
9,Through My Window,1
10,Blumhouse's Fantasy Island,2
1,Home Team,1
2,The Last Full Measure,1
3,The Royal Treatment,2
4,Munich – The Edge of War,1
5,Blumhouse's Fantasy Island,1
6,Midnight in the Switchgrass,2
7,Prisoners,2
8,Lying and Stealing,1
9,Playing with Fire,2
10,Beautiful Creatures,1
1,Midnight in the Switchgrass,1
2,Prisoners,1
3,The Royal Treatment,1
4,Playing with Fire,1
5,Brazen,2
6,After We Fell,1
7,Alexander,1
8,Blow,1
9,Don't Look Up,5
10,Under Siege,1
1,Brazen,1
2,Terminator: Dark Fate,1
3,Bloodshot,2
4,Tides,1
5,Don't Look Up,4
6,Vanquish,1
7,American Sniper,2
8,The Protege,2
9,Mother/Android,2
10,Bad Boys for Life,2
1,The Protege,1
2,Don't Look Up,3
3,American Sniper,1
4,Bad Boys for Life,1
5,Mother/Android,1
6,Bloodshot,1
7,The Lost Daughter,2
8,North Country,1
9,Harriet,1
10,The Boss Baby,3
1,Don't Look Up,2
2,Left Behind,1
3,The Unforgivable,4
4,The Boss Baby,2
5,New in Town,1
6,The Lost Daughter,1
7,Gemini Man,3
8,Death to 2021,1
9,Red Notice,6
10,Spider-Man: Far from Home,4
1,Don't Look Up,1
2,Gemini Man,2
3,How the Grinch Stole Christmas,7
4,The Unforgivable,3
5,The Boss Baby,1
6,Spider-Man: Far from Home,3
7,Back to the Outback,3
8,The Christmas Chronicles,1
9,Spider-Man: Homecoming,1
10,The Holiday,1
1,The Unforgivable,2
2,Gemini Man,1
3,Just Mercy,1
4,Back to the Outback,2
5,Night Hunter,1
6,How the Grinch Stole Christmas,6
7,A California Christmas: City Lights,1
8,Escape from Pretoria,2
9,Jumanji: The Next Level,3
10,Spider-Man: Far from Home,2
1,The Unforgivable,1
2,Jumanji: The Next Level,2
3,How the Grinch Stole Christmas,5
4,Escape from Pretoria,1
5,Single All The Way,2
6,Back to the Outback,1
7,Red Notice,5
8,Home,1
9,The Fast and the Furious,1
10,The Power of the Dog,2
1,Jumanji: The Next Level,1
2,The Power of the Dog,1
3,A Castle For Christmas,2
4,The Way Back,1
5,Red Notice,4
6,14 Peaks: Nothing Is Impossible,1
7,Executive Decision,1
8,Bruised,2
9,My Christmas Inn,1
10,Single All The Way,1
1,Red Notice,3
2,Bruised,1
3,A Castle For Christmas,1
4,A Boy Called Christmas,1
5,Charlie's Angels,1
6,Jack Reacher,1
7,Dr. Seuss' The Grinch,3
8,How the Grinch Stole Christmas,4
9,Pain & Gain,2
10,The Princess Switch 3: Romancing the Star,2
1,Red Notice,2
2,Pain & Gain,1
3,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),1
4,The Princess Switch 3: Romancing the Star,1
5,Love Hard,3
6,Dr. Seuss' The Grinch,2
7,How the Grinch Stole Christmas,3
8,Snowbound for Christmas,1
9,The Harder They Fall,3
10,Indecent Proposal,1
1,Red Notice,1
2,Love Hard,2
3,The Harder They Fall,2
4,How the Grinch Stole Christmas,2
5,Father Christmas Is Back,1
6,Dr. Seuss' The Grinch,1
7,Army of Thieves,3
8,Dr. Seuss' The Lorax,2
9,Richard Jewell,1
10,Hustlers,1
1,The Harder They Fall,1
2,Army of Thieves,2
3,Love Hard,1
4,The Hitman's Wife's Bodyguard,3
5,Dora and the Lost City of Gold,1
6,Black and Blue,2
7,The 40-Year-Old Virgin,1
8,Dr. Seuss' The Lorax,1
9,How the Grinch Stole Christmas,1
10,First Daughter,1
1,The Hitman's Wife's Bodyguard,2
2,Army of Thieves,1
3,Hypnotic,1
4,Black and Blue,1
5,Night Teeth,2
6,The Forgotten Battle,3
7,Halloween,1
8,Minions,4
9,The Dare,1
10,Hubie Halloween,1
1,The Forgotten Battle,2
2,Night Teeth,1
3,Hellboy,1
4,The Hitman's Wife's Bodyguard,1
5,Deep Impact,1
6,The General's Daughter,1
7,Minions,3
8,Despicable Me 2,3
9,Despicable Me,2
10,The Trip,1
1,The Forgotten Battle,1
2,Minions,2
3,Despicable Me 2,2
4,Despicable Me,1
5,The Guilty,3
6,Dark Shadows,2
7,Heat,3
8,The Ice Road,3
9,Security,1
10,The Adventures of Sharkboy and Lavagirl,1
1,The Guilty,2
2,Heat,2
3,Dark Shadows,1
4,Abominable,2
5,There's Someone Inside Your House,1
6,Ride Along 2,1
7,Knock Knock,1
8,Minions,1
9,Britney Vs Spears,2
10,Despicable Me 2,1
1,The Guilty,1
2,Britney Vs Spears,1
3,The Ice Road,2
4,The Starling,2
5,My Little Pony: A New Generation,2
6,Abominable,1
7,No One Gets Out Alive,1
8,The Poison Rose,1
9,The Wolf of Wall Street,3
10,Heat,1
1,The Ice Road,1
2,Intrusion,1
3,The Starling,1
4,Fast & Furious Presents: Hobbs & Shaw,2
5,Doctor Sleep,1
6,The Wolf of Wall Street,2
7,My Little Pony: A New Generation,1
8,Crawl,1
9,Zombieland: Double Tap,2
10,Kate,3
1,Fast & Furious Presents: Hobbs & Shaw,1
2,The Wolf of Wall Street,1
3,Kate,2
4,The Good Liar,1
5,Schumacher,1
6,Zombieland: Double Tap,1
7,Code 8,1
8,Stardust,1
9,The Guide to the Perfect Family,2
10,Firedrake the Silver Dragon,1
1,Kate,1
2,Worth,1
3,Edge of Tomorrow,2
4,The Guide to the Perfect Family,1
5,Afterlife of the Party,2
6,Straight Outta Compton,1
7,Yesterday,1
8,The Last Castle,1
9,The Lego Movie,1
10,The Dead Don't Die,2
1,He's All That,2
2,SAS: Rise of the Black Swan,2
3,Romeo Must Die,1
4,Edge of Tomorrow,1
5,The Dead Don't Die,1
6,Once Upon a Time in Hollywood,2
7,Afterlife of the Party,1
8,Untold: Crime & Penalties,1
9,The Equalizer,1
10,Double Jeopardy,1
1,He's All That,1
2,Sweet Girl,2
3,Once Upon a Time in Hollywood,1
4,SAS: Rise of the Black Swan,1
5,Rocketman,1
6,Joker,2
7,The Loud House Movie,2
8,The Witcher: Nightmare of the Wolf,1
9,Vivo,4
