No,movie,week_at_Top10
2,Luther: The Fallen Sun,4
3,For Ziko,2
4,The Boss Baby: Family Business,2
5,The Magician's Elephant,3
6,Murder Mystery,1
7,F9: The Fast Saga,6
8,The Boss Baby,6
9,Kill Boksoon,1
10,Chor Nikal Ke Bhaga,1
1,Luther: The Fallen Sun,3
2,The Magician's Elephant,2
3,The Boss Baby: Family Business,1
4,F9: The Fast Saga,5
5,For Ziko,1
6,Noise,1
7,Marry Me Again?,5
8,Outside the Curriculum,3
9,In His Shadow,1
10,All Quiet on the Western Front,5
1,Luther: The Fallen Sun,2
2,Outside the Curriculum,2
3,F9: The Fast Saga,4
4,The Magician's Elephant,1
5,Marry Me Again?,4
6,Money Shot: The Pornhub Story,1
7,We Have a Ghost,4
8,The Forever Purge,2
9,Faraway,2
10,A Stand Worthy of Men,21
1,Luther: The Fallen Sun,1
2,F9: The Fast Saga,3
3,We Have a Ghost,3
4,The Forever Purge,1
5,Outside the Curriculum,1
6,Marry Me Again?,3
7,Faraway,1
8,The Condemned,2
9,Meet Joe Black,1
10,Your Place or Mine,5
1,F9: The Fast Saga,2
2,We Have a Ghost,2
3,Marry Me Again?,2
4,The Condemned,1
5,Your Place or Mine,4
6,The Strays,2
7,Scent of a Woman,2
8,Unlocked,2
9,Tonight You're Sleeping with Me,1
10,Mission: Impossible - Fallout,2
1,Marry Me Again?,1
2,F9: The Fast Saga,1
3,Your Place or Mine,3
4,We Have a Ghost,1
5,Unlocked,1
6,Scent of a Woman,1
7,Hard Target 2,1
8,The Strays,1
9,Mission: Impossible - Fallout,1
10,Finding You,2
1,Your Place or Mine,2
2,Nobody,3
3,True Spirit,2
4,Glass Onion: A Knives Out Mystery,9
5,A Stand Worthy of Men,20
6,Half Brothers,1
7,Finding You,1
8,The Humans and the Mongoose,18
9,The Boss Baby,5
10,You People,4
1,Nobody,2
2,Your Place or Mine,1
3,True Spirit,1
4,Viking Wolf,2
5,You People,3
6,Glass Onion: A Knives Out Mystery,8
7,A Stand Worthy of Men,19
8,The Humans and the Mongoose,17
9,The Prince & Me,2
10,Infiesto,1
1,You People,2
2,Viking Wolf,1
3,Nobody,1
4,The Prince & Me,1
5,Glass Onion: A Knives Out Mystery,7
6,A Stand Worthy of Men,18
7,Taxi Driver,1
8,The Humans and the Mongoose,16
9,Narvik,2
10,The Master Plan,5
1,You People,1
2,Narvik,1
3,Glass Onion: A Knives Out Mystery,6
4,The Pale Blue Eye,4
5,A Stand Worthy of Men,17
6,JUNG_E,1
7,Ritsa: Three Colors of Love,1
8,The Boss Baby,4
9,Mission Majnu,1
10,The Humans and the Mongoose,15
1,The Pale Blue Eye,3
2,Glass Onion: A Knives Out Mystery,5
3,Meet Dave,1
4,Dog Gone,1
5,Leligar,3
6,The Boss Baby,3
7,A Stand Worthy of Men,16
8,Different Experience,5
9,The Mummy,2
10,American Made,2
1,The Pale Blue Eye,2
2,Glass Onion: A Knives Out Mystery,4
3,Leligar,2
4,The Mummy,1
5,American Made,1
6,Mousa,2
7,The Boss Baby,2
8,Bloodshot,3
9,Different Experience,4
10,A Stand Worthy of Men,15
1,Glass Onion: A Knives Out Mystery,3
2,The Pale Blue Eye,1
3,Mousa,1
4,Bloodshot,2
5,Different Experience,3
6,The Boss Baby,1
7,Roald Dahl's Matilda The Musical,2
8,Leligar,1
9,The Swimmers,7
10,A Stand Worthy of Men,14
1,Glass Onion: A Knives Out Mystery,2
2,Bloodshot,1
3,Different Experience,2
4,Roald Dahl's Matilda The Musical,1
5,The Master Plan,4
6,The Swimmers,6
7,Godzilla vs. Kong,2
8,7 Women and a Murder,1
9,A Stand Worthy of Men,13
10,Tom and Jerry,3
1,Glass Onion: A Knives Out Mystery,1
2,Godzilla vs. Kong,1
3,A Quiet Place Part II,1
4,The Master Plan,3
5,The Swimmers,5
6,Private Lesson,1
7,Mako,1
8,Guillermo del Toro’s Pinocchio,3
9,Tom and Jerry,2
10,Different Experience,1
1,The Master Plan,2
2,The Swimmers,4
3,Tom and Jerry,1
4,Guillermo del Toro’s Pinocchio,2
5,God's Crooked Lines,1
6,Troll,3
7,Lady Chatterley's Lover,3
8,The Godfather,1
9,My Name Is Vendetta,3
10,The Godfather: Part II,1
1,The Swimmers,3
2,Troll,2
3,The Master Plan,1
4,Lady Chatterley's Lover,2
5,My Name Is Vendetta,2
6,A Man of Action,1
7,Guillermo del Toro’s Pinocchio,1
8,The Croods: A New Age,2
9,Sliver,1
10,Slumberland,4
1,The Swimmers,2
2,Troll,1
3,The Croods: A New Age,1
4,My Name Is Vendetta,1
5,The Noel Diary,2
6,Slumberland,3
7,11:11,4
8,Lady Chatterley's Lover,1
9,Enola Holmes 2,5
10,Perfect Stranger,1
1,The Swimmers,1
2,Slumberland,2
3,11:11,3
4,Enola Holmes 2,4
5,The Wonder,2
6,The Noel Diary,1
7,Falling for Christmas,3
8,A Stand Worthy of Men,12
9,The Knower,6
10,Manzikert 1071: Doomsday for the Byzantines,1
1,11:11,2
2,Enola Holmes 2,3
3,Falling for Christmas,2
4,The Wonder,1
5,Slumberland,1
6,Enola Holmes,3
7,Lost Bullet 2,1
8,Ahmed Notre Dame,3
9,All Quiet on the Western Front,4
10,The Little Things,5
1,Enola Holmes 2,2
2,11:11,1
3,Enola Holmes,2
4,Falling for Christmas,1
5,Ahmed Notre Dame,2
6,All Quiet on the Western Front,3
7,My Mom is a Minister,2
8,The Good Nurse,3
9,The Little Things,4
10,The School for Good and Evil,4
1,Enola Holmes 2,1
2,The Good Nurse,2
3,All Quiet on the Western Front,2
4,My Mom is a Minister,1
5,Ahmed Notre Dame,1
6,The Little Things,3
7,The School for Good and Evil,3
8,The Takeover,1
9,Superhero Movie,1
10,Enola Holmes,1
1,The Little Things,2
2,The School for Good and Evil,2
3,The Good Nurse,1
4,The Next Three Days,2
5,All Quiet on the Western Front,1
6,The Chalk Line,1
7,Luckiest Girl Alive,4
8,A Stand Worthy of Men,11
9,20th Century Girl,1
10,Sing,4
1,The School for Good and Evil,1
2,Luckiest Girl Alive,3
3,The Curse of Bridge Hollow,2
4,The Next Three Days,1
5,Sing,3
6,A Stand Worthy of Men,10
7,Jumanji: The Next Level,4
8,The Little Things,1
9,Mom Is Pregnant,5
10,The Equalizer 2,2
1,Luckiest Girl Alive,2
2,Mr. Harrigan's Phone,2
3,Jumanji: The Next Level,3
4,Sing,2
5,Mom Is Pregnant,4
6,Blonde,3
7,A Stand Worthy of Men,9
8,The Equalizer 2,1
9,The Curse of Bridge Hollow,1
10,Someone Borrowed,1
1,Jumanji: The Next Level,2
2,Luckiest Girl Alive,1
3,Blonde,2
4,Mr. Harrigan's Phone,1
5,Mom Is Pregnant,3
6,The Shallows,1
7,Lou,3
8,The Knower,5
9,A Stand Worthy of Men,8
10,Sing,1
1,Blonde,1
2,Mom Is Pregnant,2
3,Lou,2
4,Jumanji: The Next Level,1
5,Today is a beautiful day,1
6,Blumhouse's Fantasy Island,2
7,Excuse My French,1
8,Do Revenge,2
9,The Knower,4
10,ATHENA,1
1,Mom Is Pregnant,1
2,Do Revenge,1
3,Blumhouse's Fantasy Island,1
4,The Knower,3
5,Lou,1
6,Harry Potter and the Sorcerer's Stone,4
7,Harry Potter and the Goblet of Fire,3
8,Harry Potter and the Half-Blood Prince,3
9,Harry Potter and the Chamber of Secrets,4
10,Harry Potter and the Order of the Phoenix,3
1,The Knower,2
2,No Limit,1
3,Wonder Woman 1984,1
4,Harry Potter and the Sorcerer's Stone,3
5,Bad Boys for Life,2
6,Harry Potter and the Goblet of Fire,2
7,Harry Potter and the Chamber of Secrets,3
8,Harry Potter and the Half-Blood Prince,2
9,Harry Potter and the Order of the Phoenix,2
10,Harry Potter and the Prisoner of Azkaban,2
1,Not Me,2
2,Harry Potter and the Sorcerer's Stone,2
3,Harry Potter and the Chamber of Secrets,2
4,The Knower,1
5,Bad Boys for Life,1
6,Harry Potter and the Goblet of Fire,1
7,Harry Potter and the Prisoner of Azkaban,1
8,Love in the Villa,2
9,Harry Potter and the Order of the Phoenix,1
10,Harry Potter and the Half-Blood Prince,1
1,Me Time,2
2,Not Me,1
3,Harry Potter and the Sorcerer's Stone,1
4,Love in the Villa,1
5,Harry Potter and the Chamber of Secrets,1
6,Loving Adults,1
7,A Stand Worthy of Men,7
8,The Next 365 Days,3
9,That's Amor,1
10,Look Both Ways,3
1,Me Time,1
2,The Next 365 Days,2
3,Look Both Ways,2
4,Day Shift,3
5,A Stand Worthy of Men,6
6,The Gray Man,6
7,Purple Hearts,5
8,The Crime,7
9,Royalteen,1
10,The Sea Beast,8
1,Day Shift,2
2,Look Both Ways,1
3,The Next 365 Days,1
4,Purple Hearts,4
5,The Rite,1
6,A Stand Worthy of Men,5
7,The Gray Man,5
8,The Crime,6
9,The Sea Beast,7
10,The Humans and the Mongoose,14
1,Purple Hearts,3
2,Day Shift,1
3,The Gray Man,4
4,A Stand Worthy of Men,4
5,Carter,2
6,The Crime,5
7,The Sea Beast,6
8,Wedding Season,1
9,Tenet,3
10,Darlings,1
1,Purple Hearts,2
2,The Gray Man,3
3,A Stand Worthy of Men,3
4,Tenet,2
5,The Crime,4
6,The Sea Beast,5
7,Just Like Heaven,1
8,Carter,1
9,The Great Chinese Beans,2
10,Thieves in Thailand,1
1,The Gray Man,2
2,A Stand Worthy of Men,2
3,The Crime,3
4,The Sea Beast,4
5,2 Hearts,2
6,Purple Hearts,1
7,Let Him Go,1
8,The Humans and the Mongoose,13
9,The Great Chinese Beans,1
10,Tenet,1
1,The Crime,2
2,A Stand Worthy of Men,1
3,The Gray Man,1
4,The Sea Beast,3
5,Persuasion,2
6,2 Hearts,1
7,Black and Blue,2
8,The Humans and the Mongoose,12
9,The Man from Toronto,5
10,One Second,9
1,The Crime,1
2,The Sea Beast,2
3,The Man from Toronto,4
4,The Humans and the Mongoose,11
5,Persuasion,1
6,The Legend of Tarzan,2
7,Dangerous Liaisons,1
8,Black and Blue,1
9,One Second,8
10,Girl in the Picture,1
1,The Man from Toronto,3
2,The Legend of Tarzan,1
3,The Sea Beast,1
4,The Humans and the Mongoose,10
5,Primal Fear,1
6,Wonder Woman,1
7,The Reader,2
8,The Way Back,1
9,One Second,7
10,Love & Gelato,3
1,The Man from Toronto,2
2,Love & Gelato,2
3,The Humans and the Mongoose,9
4,Once Upon a Time in Hollywood,1
5,Hustle,4
6,Spiderhead,3
7,One Second,6
8,The Reader,1
9,Doom of Love,2
10,The Angry Birds Movie 2,4
1,Spiderhead,2
2,The Man from Toronto,1
3,Hustle,3
4,The Humans and the Mongoose,8
5,Love & Gelato,1
6,Doom of Love,1
7,One Second,5
8,Interceptor,4
9,The Angry Birds Movie 2,3
10,The Switch,2
1,Hustle,2
2,Spiderhead,1
3,The Humans and the Mongoose,7
4,The Switch,1
5,Interceptor,3
6,The Angry Birds Movie 2,2
7,One Second,4
8,The Wrath of God,1
9,The Accountant,2
10,Halftime,1
1,Hustle,1
2,Interceptor,2
3,The Humans and the Mongoose,6
4,Ammar,1
5,The Angry Birds Movie 2,1
6,The Accountant,1
7,One Second,3
8,Jack Reacher: Never Go Back,3
9,Case 39,1
10,Waterworld,1
1,The Humans and the Mongoose,5
2,One Second,2
3,Jack Reacher: Never Go Back,2
4,Interceptor,1
5,RRR (Hindi),2
6,A Perfect Pairing,3
7,Misconception,2
8,Senior Year,4
9,Jack Reacher,2
10,A Man Wanted,5
1,One Second,1
2,The Humans and the Mongoose,4
3,A Perfect Pairing,2
4,Jack Reacher: Never Go Back,1
5,Senior Year,3
6,Mawlana: The Preacher,1
7,Misconception,1
8,A Man Wanted,4
9,RRR (Hindi),1
10,Apple of my Eyes,7
1,Senior Year,2
2,The Humans and the Mongoose,3
3,The Hunt,1
4,A Man Wanted,3
5,A Perfect Pairing,1
6,Trolls World Tour,1
7,Apple of my Eyes,6
8,365 Days: This Day,4
9,Late Night,1
10,The Takedown,3
1,The Humans and the Mongoose,2
2,A Man Wanted,2
3,Senior Year,1
4,The Takedown,2
5,365 Days: This Day,3
6,Apple of my Eyes,5
7,Spider-Man: Far from Home,3
8,Along for the Ride,1
9,Our Father,1
10,Gangubai Kathiawadi,1
1,The Humans and the Mongoose,1
2,365 Days: This Day,2
3,A Man Wanted,1
4,Spider-Man: Far from Home,2
5,Apple of my Eyes,4
6,Perfume: The Story of a Murderer,1
7,The Takedown,1
8,Silverton Siege,2
9,The In Between,5
10,The Adam Project,9
1,365 Days: This Day,1
2,Spider-Man: Far from Home,1
3,The Interview,2
4,Killers,1
5,Sonic the Hedgehog,8
6,Silverton Siege,1
7,Apple of my Eyes,3
8,Choose or Die,3
9,The Adam Project,8
10,The In Between,4
1,Choose or Die,2
2,The Interview,1
3,The 5th Wave,1
4,The In Between,3
5,Sonic the Hedgehog,7
6,The Adam Project,7
7,Men in Black: International,4
8,We Can Be Heroes,1
9,How It Ends,1
10,Apple of my Eyes,2
1,The In Between,2
2,Men in Black: International,3
3,The Adam Project,6
4,Choose or Die,1
5,Furioza,1
6,Sonic the Hedgehog,6
7,Apple of my Eyes,1
8,The Ninth Gate,3
9,Yaksha: Ruthless Operations,1
10,The Amazing Spider-Man 2,2
1,Men in Black: International,2
2,The Ninth Gate,2
3,The In Between,1
4,The Adam Project,5
5,The Amazing Spider-Man 2,1
6,Kung Fu Panda 2,1
7,Soulmate,2
8,The Bubble,1
9,30. March,2
10,Sonic the Hedgehog,5
1,30. March,1
2,The Adam Project,4
3,Men in Black: International,1
4,Soulmate,1
5,In Good Hands,2
6,The Ninth Gate,1
7,Black Crab,3
8,6 Underground,3
9,My Bride,8
10,Trust No One: The Hunt for the Crypto King,1
1,The Adam Project,3
2,In Good Hands,1
3,Black Crab,2
4,Windfall,2
5,My Bride,7
6,Without Saying Goodbye,2
7,The Intern,4
8,Rescued by Ruby,1
9,6 Underground,2
10,Barbie Big City Big Dreams,1
1,The Adam Project,2
2,Black Crab,1
3,The Intern,3
4,My Bride,6
5,The Weekend Away,3
6,Without Saying Goodbye,1
7,Windfall,1
8,Instant Family,1
9,Red Notice,13
10,Against The Ice,3
1,The Adam Project,1
2,The Weekend Away,2
3,The Intern,2
4,My Bride,5
5,Against The Ice,2
6,Double Jeopardy,1
7,The Pirates: The Last Royal Treasure,2
8,Restless,3
9,The Bombardment,1
10,Shaoming,3
1,The Weekend Away,1
2,My Bride,4
3,Restless,2
4,Against The Ice,1
5,Shaoming,2
6,The Intern,1
7,Little Italy,1
8,The Tinder Swindler,5
9,The Pirates: The Last Royal Treasure,1
10,Brightburn,2
1,My Bride,3
2,Shaoming,1
3,Brightburn,1
4,The Tinder Swindler,4
5,Warcraft,1
6,Love Tactics,3
7,Texas Chainsaw Massacre,2
8,Restless,1
9,Through My Window,4
10,Downfall: The Case Against Boeing,1
1,My Bride,2
2,The Tinder Swindler,3
3,Love Tactics,2
4,Tall Girl 2,2
5,In the Heart of the Sea,3
6,Seventh Son,1
7,Through My Window,3
8,Texas Chainsaw Massacre,1
9,أصحاب ...ولا أعزّ,5
10,Fistful of Vengeance,1
1,The Tinder Swindler,2
2,Through My Window,2
3,In the Heart of the Sea,2
4,Love Tactics,1
5,أصحاب ...ولا أعزّ,4
6,Tall Girl 2,1
7,My Bride,1
8,The Privilege,1
9,Teenage Mutant Ninja Turtles 2,1
10,The Intruder,1
1,أصحاب ...ولا أعزّ,3
2,The Tinder Swindler,1
3,Can You Keep a Secret?,2
4,Home Team,1
5,Through My Window,1
6,The Royal Treatment,3
7,"Extremely Wicked, Shockingly Evil and Vile",2
8,In the Heart of the Sea,1
9,My Father's Violin,2
10,Anna,4
1,أصحاب ...ولا أعزّ,2
2,The Royal Treatment,2
3,Anna,3
4,Munich – The Edge of War,1
5,My Father's Violin,1
6,Don't Look Up,6
7,"Extremely Wicked, Shockingly Evil and Vile",1
8,Can You Keep a Secret?,1
9,Red Notice,12
10,Washing machine,5
1,أصحاب ...ولا أعزّ,1
2,Anna,2
3,The Royal Treatment,1
4,Brazen,2
5,Don't Look Up,5
6,Molly's Game,1
7,After,2
8,Riverdance: The Animated Adventure,1
9,Red Notice,11
10,88 Minutes,1
1,Anna,1
2,Don't Look Up,4
3,Mother/Android,2
4,Brazen,1
5,After,1
6,Washing machine,4
7,Red Notice,10
8,Suicide Squad,2
9,Blackhat,2
10,The Unforgivable,6
1,Don't Look Up,3
2,Blackhat,1
3,Mother/Android,1
4,Washing machine,3
5,The Unforgivable,5
6,Dolittle,2
7,Suicide Squad,1
8,Red Notice,9
9,Spider-Man: Homecoming,4
10,The Amazing Spider-Man,4
1,Don't Look Up,2
2,Washing machine,2
3,The Amazing Spider-Man,3
4,Spider-Man: Homecoming,3
5,The Unforgivable,4
6,Dolittle,1
7,The Professor and the Madman,1
8,Red Notice,8
9,Spider-Man 3,2
10,Spider-Man,3
1,Don't Look Up,1
2,Spider-Man: Homecoming,2
3,The Unforgivable,3
4,Washing machine,1
5,The Amazing Spider-Man,2
6,Spider-Man,2
7,Spider-Man 3,1
8,Spider-Man 2,1
9,Back to the Outback,2
10,Red Notice,7
1,The Unforgivable,2
2,Back to the Outback,1
3,Red Notice,6
4,Spider-Man: Homecoming,1
5,Two,2
6,Ghost In Transit,4
7,Charlie and the Chocolate Factory,2
8,The Amazing Spider-Man,1
9,Spider-Man,1
10,A California Christmas: City Lights,1
1,The Unforgivable,1
2,Red Notice,5
3,Escape Room,2
4,More the Merrier,2
5,Ghost In Transit,3
6,Charlie and the Chocolate Factory,1
7,Two,1
8,A Boy Called Christmas,3
9,Spoiled Brats,2
10,Army of Thieves,7
1,Red Notice,4
2,Escape Room,1
3,Spoiled Brats,1
4,More the Merrier,1
5,Bruised,2
6,A Castle For Christmas,1
7,Ghost In Transit,2
8,A Boy Called Christmas,2
9,The Age of Adaline,2
10,Army of Thieves,6
1,Red Notice,3
2,Central Intelligence,2
3,Army of Thieves,5
4,Bruised,1
5,The Age of Adaline,1
6,The Princess Switch 3: Romancing the Star,2
7,A Boy Called Christmas,1
8,Ghost In Transit,1
9,The Croods,2
10,Jack Reacher,1
1,Red Notice,2
2,Army of Thieves,4
3,Central Intelligence,1
4,Love Hard,3
5,The Princess Switch 3: Romancing the Star,1
6,Army of the Dead,3
7,The Harder They Fall,3
8,6 Underground,1
9,Sonic the Hedgehog,4
10,The Croods,1
1,Red Notice,1
2,Love Hard,2
3,Army of Thieves,3
4,The Harder They Fall,2
5,Army of the Dead,2
6,Sonic the Hedgehog,3
7,First Daughter,1
8,Yara,1
9,The Invisible Man,2
10,High School Girls,4
1,Army of Thieves,2
2,Love Hard,1
3,Sonic the Hedgehog,2
4,The Harder They Fall,1
5,Army of the Dead,1
6,Hypnotic,2
7,High School Girls,3
8,The Invisible Man,1
9,Transformers: The Last Knight,1
10,Rush Hour,1
1,Army of Thieves,1
2,High School Girls,2
3,Hypnotic,1
4,Night Teeth,2
5,Sonic the Hedgehog,1
6,What Happens in Vegas,2
7,The Forgotten Battle,3
8,Venom,3
9,Unfaithful,2
10,Stuck Together,1
1,The Forgotten Battle,2
2,Night Teeth,1
3,What Happens in Vegas,1
4,High School Girls,1
5,Deep Impact,1
6,Miss Bala,1
7,Unfaithful,1
8,Venom,2
9,The Guilty,4
10,Knight and Day,3
1,The Guilty,3
2,Love & Other Drugs,2
3,Knight and Day,2
4,The Forgotten Battle,1
5,Mr. & Mrs. Smith,2
6,Cast Away,2
7,Venom,1
8,The Originals,6
9,The Terminal,1
10,Ride Along 2,2
1,The Guilty,2
2,Love & Other Drugs,1
3,Cast Away,1
4,Mr. & Mrs. Smith,1
5,The Core,1
6,There's Someone Inside Your House,1
7,The Originals,5
8,Ride Along 2,1
9,Knight and Day,1
10,Heat,1
1,The Guilty,1
2,The Originals,4
3,No One Gets Out Alive,1
4,My Little Pony: A New Generation,2
5,Nawara,3
6,Man on Fire,3
7,Intrusion,2
8,The Starling,1
9,Kate,4
10,Photocopy,3
1,The Originals,3
2,Man on Fire,2
3,Nawara,2
4,Intrusion,1
5,Kate,3
6,Photocopy,2
7,Nightbooks,2
8,My Little Pony: A New Generation,1
9,The Father Who Moves Mountains,1
10,صاحب المقام,5
1,The Originals,2
2,Kate,2
3,Nawara,1
4,Man on Fire,1
5,Photocopy,1
6,Nightbooks,1
7,صاحب المقام,4
8,Bohemian Rhapsody,1
9,Prey,1
10,In Time,2
1,The Originals,1
2,Kate,1
3,Afterlife of the Party,2
4,صاحب المقام,3
5,In Time,1
6,He's All That,3
7,Noah,1
8,War,1
9,Monte Carlo,1
10,The Sum of All Fears,2
1,He's All That,2
2,صاحب المقام,2
3,Sweet Girl,3
4,Afterlife of the Party,1
5,The Sum of All Fears,1
6,Tom and Jerry: The Movie,1
7,Gunshot,2
8,Avengement,1
9,Wannabe Courageous,7
10,She's All That,1
1,Sweet Girl,2
2,He's All That,1
3,صاحب المقام,1
4,The Loud House Movie,1
5,The Kissing Booth 3,3
6,Gunshot,1
7,Wannabe Courageous,6
8,Black Island,2
9,Vivo,4
10,The Witcher: Nightmare of the Wolf,1
1,Sweet Girl,1
2,The Kissing Booth 3,2
3,Vivo,3
4,Beckett,2
5,Wannabe Courageous,5
6,Black Island,1
7,Gemini Man,5
8,Mr. Peabody & Sherman,1
9,Tiller,1
10,Erin Brockovich,1
1,The Kissing Booth 3,1
2,Vivo,2
3,Wannabe Courageous,4
4,Gemini Man,4
5,Aftermath,2
6,Blood Red Sky,4
7,The Last Mercenary,3
8,Beckett,1
9,راس السنة,4
